11gs,5.82
16pk,5.22
1a07,6.40
1a08,5.62
1a09,6.70
1a0q,7.57
1a1b,6.40
1a1c,6.40
1a1e,6.00
1a30,4.30
1a42,9.89
1a4k,8.00
1a4w,5.92
1a50,6.70
1a69,5.30
1a7t,1.64
1a94,7.86
1a99,5.70
1a9m,6.92
1aaq,8.40
1abe,6.52
1abf,5.42
1adb,8.40
1add,6.74
1adl,5.36
1af2,3.10
1afk,6.62
1afl,6.28
1ag9,9.00
1agm,12.00
1ai4,2.50
1ai5,3.72
1ai7,4.09
1aj6,5.92
1aj7,3.87
1ajn,2.63
1ajp,2.23
1ajq,4.31
1ajv,7.72
1ajx,7.91
1akr,9.09
1akt,8.49
1akw,8.59
1alw,6.52
1anf,5.46
1apb,5.82
1apt,9.40
1apu,7.49
1apv,9.00
1apw,8.00
1at6,4.07
1atl,6.28
1avn,3.90
1awi,4.05
1ax0,3.13
1ax1,3.29
1ax2,3.99
1axz,3.20
1azl,8.62
1b05,7.12
1b1h,7.03
1b2h,4.54
1b32,7.10
1b38,6.60
1b39,6.92
1b3f,6.89
1b3g,6.70
1b3h,6.21
1b3l,5.89
1b40,7.28
1b42,4.01
1b46,5.28
1b4h,5.46
1b4z,5.23
1b51,7.37
1b52,7.12
1b55,7.40
1b58,6.59
1b5h,6.01
1b5i,7.05
1b5j,7.43
1b6h,7.82
1b6j,7.92
1b6k,8.74
1b6l,8.30
1b6m,8.40
1b6n,8.40
1b6o,9.22
1b6p,8.52
1b7h,8.02
1b8o,10.64
1b8y,7.85
1b9j,5.96
1bai,7.70
1bap,6.85
1bcd,8.70
1bcu,5.00
1bdq,6.96
1bgq,8.57
1bhf,4.38
1bhx,6.84
1bjr,7.68
1bkj,6.77
1bky,3.84
1bll,6.70
1bma,4.59
1bn1,9.34
1bn3,9.89
1bn4,9.31
1bnn,10.00
1bnq,9.49
1bnt,9.80
1bnu,9.70
1bnv,8.77
1bnw,9.08
1bp0,5.40
1bq4,5.22
1br5,2.70
1br6,3.22
1bra,1.82
1btn,4.40
1bv7,9.30
1bv9,8.96
1bwa,7.60
1bwb,7.42
1bxo,10.00
1bxq,7.38
1byk,5.00
1byt,4.30
1bzc,4.92
1bzh,6.77
1bzj,4.66
1bzm,6.03
1c1r,7.63
1c1u,8.25
1c1v,7.64
1c2d,8.28
1c4u,10.37
1c4v,10.80
1c5c,6.96
1c5n,4.70
1c5o,3.49
1c5p,4.68
1c5q,6.36
1c5s,6.00
1c5t,4.10
1c6y,9.51
1c70,10.30
1c7f,9.52
1c83,4.85
1c84,5.00
1c86,4.70
1c87,4.20
1c88,5.29
1caq,7.72
1cbx,6.35
1ce5,4.74
1cea,4.96
1ceb,6.00
1cil,9.43
1cim,8.82
1cin,8.73
1ciz,7.44
1cla,5.28
1clu,8.27
1cnw,7.72
1cnx,7.37
1cny,7.85
1cps,6.66
1ct8,6.52
1ctt,4.52
1ctu,11.92
1czk,8.82
1czr,9.00
1d09,7.57
1d1p,3.60
1d3d,9.09
1d3p,7.39
1d4k,9.22
1d4l,8.77
1d4p,6.30
1d4s,9.00
1d4y,11.10
1d5r,1.82
1d6v,6.17
1d6w,5.96
1d7i,3.60
1d7j,3.30
1d9i,9.11
