pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
2.0000,42.5094,689.3947,1.2261,5.5623,3.1591,4.4139,18.1904,0.2267,1.0000,0.6802,0.3333,3g2y
2.0000,49.9022,731.4756,1.2208,39.9276,1.8368,1.7728,8.5201,0.0926,0.0000,0.0000,0.2857,3pce
2.0500,61.5185,1136.4727,2.0785,0.0000,4.3242,12.9544,83.4503,0.0752,0.0000,0.1898,0.1000,1jfh
2.0600,52.6033,614.8804,2.6281,1.3568,5.6191,1.8100,5.8506,0.0586,0.0000,0.0000,0.1818,1qq9
2.1200,35.5304,643.8345,1.2861,5.4760,2.8790,5.8349,8.5303,0.2075,0.6997,0.6059,0.3333,3gv9
2.1600,74.4903,739.6415,3.1440,0.0000,5.4556,2.9977,9.8346,0.2394,0.0000,0.9853,0.1818,4tim
2.1700,68.8259,708.0591,0.6829,44.5801,0.6652,4.5183,39.0116,0.0499,4.4335,0.0000,0.2500,3gqz
2.2100,42.9977,696.0674,1.1340,11.6531,2.6190,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1x8d
2.2200,99.8658,1309.0317,1.8076,0.0000,4.4732,32.9182,154.9188,0.1018,0.0000,0.0000,0.0370,1icj
2.2200,131.9721,1688.8829,6.2347,26.0962,8.2358,12.2891,111.3098,0.9591,2.0580,1.1807,0.1333,1m0n
2.2200,64.4309,822.2391,2.4951,13.7970,5.1435,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,2aac
2.2300,55.6815,767.2265,0.8270,26.9876,1.0347,2.0862,9.2104,0.2092,0.0000,0.0000,0.2500,1ajp
2.2600,45.6237,509.4937,2.1995,0.0000,3.7192,2.4690,1.6297,0.0208,0.0000,0.0000,0.3333,1ew8
2.2700,46.4399,549.8908,0.8465,7.4564,2.0414,1.1098,4.2553,0.0000,0.0000,0.0000,0.2857,1uto
2.2800,84.1998,950.7894,4.3915,0.0000,9.3483,1.0365,5.5507,0.5041,0.0000,0.7615,0.2500,1ps3
2.2800,67.9062,766.1292,2.9543,22.8644,5.4759,1.2682,10.4370,0.4330,0.0000,0.0000,0.3333,3ip8
2.3000,59.2922,907.0056,2.3985,12.9317,5.4485,1.8648,22.9897,0.1549,0.0000,0.5381,0.1667,3dyo
2.3000,59.0717,745.3866,1.5959,39.5072,2.9874,1.8669,8.7388,0.3700,0.0000,0.0000,0.2857,3pcg
2.3100,105.2146,1570.3795,6.3774,24.0652,11.0121,9.3936,97.7942,0.7079,1.2978,1.0000,0.1176,1m0o
