pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
9.0000,137.8451,2378.8923,2.7168,77.6887,4.5974,58.5513,364.5919,1.6448,16.0174,1.8935,0.0426,1gvu
10.0000,152.2371,2071.3833,4.0206,72.3443,6.0493,24.7944,188.6274,0.4584,6.4929,0.0000,0.0909,1bxo
6.9600,135.6025,2037.6394,2.2776,66.0909,2.7897,40.5161,330.0243,0.9254,12.6528,0.8961,0.0500,1gvw
7.2200,165.6073,2628.7854,3.9803,84.2910,9.9260,75.5098,525.6876,2.1474,8.6166,3.3503,0.0328,1gvx
10.3900,148.9134,2258.5667,3.4620,88.2951,3.9648,24.2231,269.2961,0.7013,8.7361,0.1407,0.0909,1kzk
7.2500,118.1691,1535.8772,4.9962,20.1847,11.9635,12.9906,92.9673,0.5193,0.0000,0.3528,0.0645,1jet
6.8200,121.2272,1785.6517,4.4988,24.1295,11.8837,13.8112,124.5394,0.0604,0.0000,0.0000,0.0541,1jeu
8.7700,65.5527,567.0951,2.1346,9.2403,3.0024,0.3611,2.7999,0.0000,0.0000,0.0000,0.2857,1qft
6.8900,160.5733,2186.1111,7.1332,48.4205,11.3700,19.3349,167.9819,0.4206,0.0000,0.0704,0.0571,1jev
8.5200,118.3539,1928.0063,1.9546,142.4273,2.4220,2.9638,72.9274,0.2322,7.5977,0.0000,0.2500,1fcy
9.3700,131.9705,1636.1508,3.8604,33.2591,8.1023,13.5956,103.4916,0.9835,0.0000,0.9771,0.1053,1flm
4.0700,65.1438,791.6059,3.4678,6.2551,6.5922,6.3327,7.8687,0.3166,0.0000,0.0000,0.2000,1hyo
4.9200,71.0643,1189.7023,2.7538,4.0317,5.8981,22.7729,210.1608,0.1316,0.0000,0.0000,0.0909,1jr0
5.3200,147.9645,1779.6650,5.5719,0.0000,13.6969,16.4847,132.1146,0.2828,0.0000,0.7280,0.0952,5p21
2.4800,61.7902,451.6759,0.9995,44.1614,1.9455,0.4637,2.4424,0.0000,0.0000,0.0000,0.5000,1gyx
3.6400,66.1946,641.4641,1.0221,45.3879,1.1839,4.5024,16.6089,0.5308,0.5972,0.0000,0.2857,1gyy
6.0000,60.2553,697.5211,1.3107,7.4924,3.3862,0.3648,8.5367,0.0000,0.0000,0.0000,0.4000,1c5s
7.6300,91.1315,1128.8037,2.1578,5.1653,4.9861,2.8416,47.5589,0.1243,0.0000,0.0000,0.2222,1c1r
4.1000,55.5947,739.2203,1.2073,4.1849,3.4550,0.3972,8.4905,0.0000,0.0000,0.0000,0.4000,1c5t
7.1900,88.3133,990.0952,2.9202,11.0085,6.1327,3.1379,36.8411,0.2020,0.1220,0.6420,0.2500,1gi4
3.8000,132.9524,1572.0651,2.8000,44.9668,4.1015,18.8154,165.7477,1.0931,0.0000,0.9726,0.1000,1kug
9.2200,118.2940,1806.6064,2.1977,139.4771,2.9081,2.2988,65.5252,0.2135,6.9347,0.0000,0.2000,1fcz
8.4000,128.6585,1970.6952,2.6736,138.2271,3.5493,4.5816,84.6904,1.0230,8.1307,0.0000,0.2222,1fd0
5.4400,90.8558,970.4493,2.7781,10.4317,5.5550,4.2028,35.3555,0.4886,0.0000,0.9986,0.2500,1gi2
4.8000,85.9784,952.5656,2.5924,6.5244,5.7067,4.1270,36.7544,0.3747,0.0000,0.8745,0.2500,1ghz
3.8900,54.6170,853.8092,2.9144,31.5073,5.1503,4.2045,13.1349,0.0453,0.0000,0.0000,0.2222,2ctc
6.5500,60.6220,1115.5347,0.6572,72.8960,1.7581,30.1088,67.2394,0.0413,36.0368,0.0000,0.0588,1hmr
6.3700,57.6248,1113.2606,0.8705,76.1701,2.0340,19.8865,68.8259,0.0623,32.0896,0.0000,0.0625,1hms
5.7900,56.2718,1141.3965,0.9278,68.4504,2.1076,25.1112,73.9096,0.1244,39.8616,0.0000,0.0588,1hmt
5.5400,134.2627,1850.8312,5.1692,30.8457,12.6677,16.5420,126.9147,0.5707,0.0000,0.8312,0.0500,2olb
3.4000,69.0719,1053.5189,3.4475,8.2558,6.7763,11.1667,59.2412,0.5340,0.0000,1.8899,0.1250,1f8d
4.8200,65.1199,1056.6897,3.9910,8.1011,7.6910,11.2827,59.1855,0.6245,0.0000,1.9507,0.1250,1f8e
7.3800,126.5012,1977.1553,2.9330,53.7204,6.1177,47.1435,277.5486,0.5957,6.5740,0.8384,0.0500,1bxq
4.6800,62.6196,623.3424,1.4937,5.5107,3.3637,0.8495,2.1503,0.0000,0.0000,0.0000,0.4000,1c5p
6.3600,72.0494,759.8257,2.1600,4.0982,4.0765,0.6808,9.7810,0.0000,0.0000,0.0000,0.4000,1c5q
5.6300,100.6590,1732.8370,3.5394,30.5197,6.2489,88.7530,672.0908,5.2331,4.5856,5.9616,0.0408,1vwl
3.9100,125.0271,1595.0791,3.5540,45.2003,4.0472,21.2229,173.5116,1.0032,0.0000,0.6369,0.0800,1kuk
7.1900,117.5469,1923.0668,1.8219,136.9993,2.6192,3.4696,74.4277,0.2577,8.4639,0.0000,0.2222,1fcx
6.0000,78.6051,980.5320,2.0978,23.5616,4.1024,4.2844,31.5832,0.0499,0.0000,0.0000,0.1538,2izl
4.0000,62.1649,888.1659,4.0370,0.0000,8.7506,1.7411,3.2550,0.0000,0.0000,0.0000,0.2222,8abp
5.7700,85.0886,966.7504,2.9308,12.8030,6.3088,4.0452,35.5123,0.4856,2.6341,0.9955,0.2500,1gi6
6.7000,77.5209,1076.6949,2.5864,17.8012,6.8790,7.8817,104.4048,0.1606,0.7620,0.0000,0.1429,2sns
10.6400,105.6196,1323.9768,4.6590,2.4945,8.5612,8.8028,43.5377,0.5014,0.0000,0.0000,0.2222,1b8o
4.7000,59.2774,758.9224,1.8373,1.0064,3.3627,0.7587,9.6900,0.0000,0.0000,0.0000,0.4000,1c5n
5.3000,142.8185,2163.4656,1.9422,90.2005,2.2080,17.3034,107.9557,0.2331,11.4147,0.0000,0.0400,1hn4
6.4900,103.5630,1298.9137,3.3889,18.9005,5.8994,6.2433,68.6344,1.2220,7.9335,1.0000,0.2000,1gj6
8.0500,86.3488,1412.3655,4.2086,12.8549,5.9080,6.4398,66.7359,0.4578,7.3081,0.2375,0.2000,1gj7
5.2000,48.0438,686.2476,2.0387,4.6104,4.2354,7.2110,42.3195,0.2739,0.0000,0.8817,0.1538,1kll
3.7700,119.2809,1638.8260,2.8695,36.7106,3.7703,22.3823,160.7649,0.5882,0.0000,0.7177,0.0909,1kui
3.7000,76.6438,1147.3475,3.4393,5.8964,7.4471,9.0002,63.5106,0.6563,0.0000,0.0000,0.1667,1loq
9.7000,81.8314,1021.2753,2.7163,29.0881,4.4820,2.4914,30.1938,0.0040,0.0000,0.0000,0.1667,1df8
2.0600,52.1974,614.3069,2.5742,1.3482,5.5642,1.8421,5.8495,0.0562,0.0000,0.0000,0.1818,1qq9
5.4200,79.6357,1065.0333,1.6751,7.1163,4.3097,6.0900,41.7738,0.3149,1.8693,0.7755,0.2000,1gja
3.4600,55.7981,1030.5299,3.0115,0.0000,7.9646,5.9279,27.1854,0.2236,0.0000,0.6295,0.1667,1moq
9.0900,183.5877,1580.3022,10.0353,23.8207,14.7411,9.8280,104.2869,0.6413,0.0000,0.6786,0.1053,1akr
3.2800,60.6511,800.7507,2.1666,0.0000,5.1687,10.4891,77.2564,1.2079,0.0000,3.1917,0.1111,1gzc
7.0500,84.4397,1028.4211,3.5859,16.7443,9.1796,11.8208,104.0617,0.8060,0.0000,2.0947,0.1053,1nox
5.8900,51.8785,770.8660,2.4279,18.4326,5.1917,9.1693,17.5589,0.1814,0.0000,0.3111,0.1667,2tmn
8.0400,101.4474,1252.7134,1.3772,56.4634,3.6450,27.2480,144.5294,0.2456,0.0000,0.0000,0.0667,5tmn
5.0500,110.7729,1488.4147,2.9582,37.7812,4.5881,23.5741,159.5614,0.0325,0.0000,0.0000,0.0667,6tmn
5.3600,68.9058,1252.4165,0.9229,64.8635,1.9445,14.7176,84.8047,0.0380,27.8325,0.0000,0.0667,1adl
9.4300,69.6865,1003.3008,2.1927,16.0302,3.8914,1.5228,38.9283,0.0328,1.4784,0.0000,0.2222,1cil
3.4200,69.3720,1051.2393,2.7405,8.7583,7.0483,12.0630,57.5210,0.8220,0.0000,2.3430,0.1250,2sim
6.8800,78.8877,736.1443,5.5530,0.0000,10.2625,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,2dri
2.2200,64.4346,821.6274,2.4985,13.7970,5.1457,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,2aac
5.2200,106.3744,1687.5298,3.6792,0.0000,7.0782,9.2708,128.6237,0.0274,0.0000,0.0000,0.0690,16pk
3.5500,62.0536,1015.1138,2.5985,7.6557,5.8910,10.6577,59.6837,0.4191,0.0000,1.7091,0.1250,2qwc
9.2800,103.7745,1592.1764,1.9796,40.5920,3.2502,17.2861,99.7932,0.8370,7.6490,0.3375,0.1333,830c
3.0500,79.8630,1016.3259,4.2029,1.6388,9.7666,15.2468,59.1183,0.8528,1.7868,1.9219,0.0833,1f74
4.7000,140.1418,2284.2957,4.4838,21.0352,10.4562,25.6711,242.9897,0.5691,14.2031,0.5393,0.0500,1jkx
6.0600,167.5905,2354.8088,6.8989,24.8407,13.4588,42.5554,374.0341,1.8096,1.0107,2.5249,0.0426,1g7q
5.6000,90.6012,1042.3654,3.4970,9.0268,6.7945,4.5753,46.7975,0.4732,0.0000,0.9827,0.2000,1gi5
2.5400,31.4551,362.6871,0.0975,25.0348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1iup
3.8400,65.1607,636.6530,1.8004,7.1906,3.2617,0.5563,2.3745,0.0000,0.0000,0.0000,0.4000,1j16
11.0600,76.7854,1181.1188,3.2572,6.0722,7.3016,9.8790,69.1833,0.6800,0.0000,0.0363,0.1538,1lor
6.9600,92.0638,1242.6449,3.9845,43.0770,5.7063,6.8624,60.2574,2.5374,0.7448,1.0000,0.2500,1c5c
4.1400,111.2589,1606.9551,4.4117,0.0000,9.1542,23.0786,193.1480,1.4831,0.0000,1.0135,0.0667,1gny
7.4400,143.0387,2141.8181,1.8642,68.0638,2.6817,18.3978,125.8404,0.2053,5.6687,0.0000,0.1111,1ciz
6.9600,97.0080,1299.0754,3.1419,10.0690,5.0216,10.3100,68.3051,0.8243,3.2577,0.9991,0.1429,1gj8
6.7000,76.0754,1166.4963,2.9465,17.3713,6.2214,9.9066,101.5329,0.0610,0.9515,0.0000,0.1429,1snc
6.0800,70.0498,1074.6606,2.1523,39.5189,1.7106,3.7573,51.9737,0.0387,1.0111,0.0000,0.2222,1sri
6.6400,49.5603,596.0859,1.9334,3.6519,4.0243,1.6532,7.0095,0.0048,0.0000,0.0000,0.2222,1lcp
5.1500,113.5704,1180.3041,4.3253,0.0000,10.0803,6.6195,80.9299,0.0199,0.0000,0.2014,0.1538,1qk3
11.1100,111.1542,1778.0367,2.6839,141.2859,2.5327,41.1861,107.4889,0.4249,34.6856,0.0000,0.1429,3std
8.2800,104.2332,1333.1405,3.7763,5.2603,7.1252,5.8048,66.3471,0.1813,0.0000,0.0000,0.1538,1c2d
5.4000,83.1904,993.5093,2.0863,20.0131,4.6736,4.4897,37.1708,0.6907,0.0000,1.0000,0.2500,1ghx
5.6400,49.7099,727.2816,3.1481,0.0000,7.4214,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,6abp
5.5400,56.0262,808.5971,3.7735,6.7903,7.6262,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,7abp
5.4600,97.1576,1349.3534,4.2110,0.0000,9.3555,13.3892,75.6768,1.2877,0.0000,2.3219,0.1111,1anf
8.6200,80.8792,1527.9686,1.9056,36.2418,4.9879,11.1159,104.9258,0.3864,0.9282,0.0000,0.0952,4dfr
4.5000,61.8956,622.9363,1.5375,6.0639,3.7956,0.9047,2.1345,0.0000,0.0000,0.0000,0.4000,3ptb
10.1700,121.9173,1437.4777,1.9855,62.0088,2.2276,28.6631,227.5400,0.4074,0.8297,0.1379,0.0667,4tmn
5.9000,70.9368,955.8857,2.7562,25.6967,5.7302,15.7877,69.6817,0.7995,0.1193,0.0000,0.1333,3tmn
9.4000,97.9679,1673.0779,2.2537,62.8946,3.4756,21.9986,211.2821,0.0945,10.7885,0.0000,0.1053,1fkf
