pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
9.3000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,0.3333,2iw4
4.4500,127.2517,1276.1530,5.3301,33.2208,7.6582,4.5212,38.8858,0.1207,4.3531,0.0000,0.1000,2wbg
6.0800,124.3990,1388.2031,4.9690,27.6722,8.3471,9.5345,45.9411,0.0616,6.0000,0.0000,0.1000,2wc3
5.2900,131.1022,1410.2552,6.5643,24.1082,8.2934,6.4030,33.5123,0.1031,6.0000,0.0000,0.1000,2wc4
6.1000,138.9171,1774.5742,7.6230,18.7415,14.9992,12.7636,97.6039,1.6037,0.6012,1.4025,0.1000,2yay
5.1400,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,0.1818,2yaz
3.8500,82.7050,1149.9286,2.6519,17.5084,5.2814,2.7782,29.2492,0.2279,0.8356,0.0000,0.2500,2yb0
4.1500,61.4482,1161.4664,2.9202,0.0000,6.8017,12.3575,68.2651,0.7567,0.0000,0.9281,0.1176,2xg9
7.2600,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,2xib
7.2000,114.4339,1377.9814,4.8509,23.4782,8.6220,5.0906,81.6185,0.4228,0.0000,0.7542,0.1818,2xii
8.3400,138.6899,2566.0215,3.8460,98.1983,5.1304,37.8592,321.8538,0.9620,7.6690,0.2865,0.0513,2xye
8.4400,129.3550,2546.5444,2.8825,82.8011,4.3490,40.1804,320.0344,1.0342,4.6847,0.3295,0.0513,2xyf
6.4000,103.4160,1489.4546,1.9800,62.9138,1.8547,52.2807,263.6274,2.1391,45.1005,0.3705,0.0741,2y8c
6.6300,77.9184,1303.8729,0.5198,52.8301,0.6334,17.1598,89.7594,0.2327,10.0520,0.4699,0.1176,2yfe
8.1200,91.6975,1359.8379,2.0808,24.0201,2.2614,8.9026,81.4321,0.2112,7.2231,0.4406,0.2000,2yi0
8.3200,86.6615,1362.7855,1.4286,23.3729,1.6001,8.9210,86.4274,0.3930,8.6909,0.6755,0.1667,2yi7
3.9200,155.2341,2542.7964,3.3664,18.2920,6.5404,37.7507,280.0467,2.4850,0.3691,3.4778,0.0408,2yim
2.7800,33.3446,398.8753,0.4346,37.8350,0.0000,0.9685,0.6254,0.0785,0.0000,0.0000,0.2500,2yiv
3.1600,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,0.2500,2ymd
7.6600,75.3820,1195.2255,1.8129,47.6832,0.0000,7.3690,61.1206,1.0760,0.1750,0.6006,0.3333,2yme
2.9200,61.3844,826.6815,3.8073,0.0000,8.7357,9.6708,76.3282,0.7295,0.0000,1.1117,0.1111,3alt
2.9600,96.6686,1250.1442,3.7930,0.0000,5.8561,10.8973,80.1875,0.3124,0.0000,0.6332,0.1538,3dhv
4.7200,109.0219,1013.9482,1.3084,66.9720,0.0000,2.0112,31.3118,0.0000,2.6825,0.0000,0.3333,3ebo
