pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
2.68,-1.1687,-1.4601,-0.0076,0.2100,1o8b
2.97,-2.7487,-3.6236,-0.0001,0.3360,2hw2
2.47,-0.7407,-1.1452,-0.0034,0.1260,1utl
2.9,-2.0855,-1.9296,-0.0083,0.5040,3c2u
2.59,-0.8586,-1.7603,-0.0013,0.0840,3gvb
2.62,-0.5969,-0.9708,0.0000,0.0000,3f37
2.38,-3.4498,-4.1437,-0.0001,0.6300,3f6e
2.7,-0.9511,-0.8326,-0.0072,0.0420,2uyn
2.96,-0.7429,-0.5678,-0.0044,0.0000,2br6
2.3,-1.2245,-1.5641,0.0000,0.2100,3dyo
2.17,-0.6903,-1.1807,-0.0170,0.1260,3gqz
2.52,-0.2536,-1.0748,-0.0000,0.0420,3gr2
2.81,-0.0434,-1.6008,-0.0009,0.2520,3djx
2.62,-1.2886,-1.0173,0.0000,0.0000,3f38
2.48,-0.7944,-1.0276,-0.0083,0.0000,1gyx
2.96,-0.1167,-1.1207,-0.0000,0.0840,3g34
2.28,-1.1860,-1.3111,0.0000,0.0840,3ip8
2.51,-0.8688,-0.7962,-0.0038,0.1260,3g30
2.96,-1.6475,-2.1333,-0.0136,0.3780,2w8j
2,-0.4433,-1.0291,-0.0000,0.0420,3g2y
2.36,-0.2984,-0.8701,-0.0007,0.0000,3g2z
2.22,-1.0292,-1.4029,0.0000,0.0000,2aac
2.89,-0.5813,-0.7148,-0.0019,0.0840,3g31
2.06,-0.8202,-1.1396,-0.0111,0.2100,1qq9
2.21,-1.0241,-1.1596,0.0000,0.0000,1x8d
2.23,-0.7431,-1.0848,-0.0079,0.1260,2igv
2.89,-1.0974,-1.1161,0.0000,0.0420,3f36
2.23,-1.5986,-1.9234,-0.0019,0.0420,3ao5
2.89,-0.7236,-0.5402,-0.0029,0.0840,1ugp
3.37,-0.9669,-1.3231,-0.0073,0.0000,1v2u
3.9,-0.9633,-1.7733,-0.0003,0.1260,2wor
3.93,-0.9457,-2.0999,-0.0117,0.5880,2cbz
3.42,-1.4728,-2.1620,-0.0000,0.0840,3iob
3.31,-2.1022,-1.5974,-0.0000,0.2940,1pzp
3.34,-0.7754,-2.4144,-0.0005,0.3360,2xoi
3.7,-0.9760,-1.5293,-0.0013,0.0000,2fx6
3.75,-1.4644,-2.2560,0.0000,0.5040,2iyf
3.58,-1.2223,-1.0870,-0.0165,0.0000,3dx1
3.85,-1.1469,-1.5908,-0.0407,0.1680,1n1t
3.9,-1.2887,-2.1687,-0.0008,0.1260,2wos
3.05,-1.8509,-1.3675,-0.0085,0.3360,1uj6
3.56,-0.9308,-1.7560,-0.0035,0.3360,2hrm
3.28,-0.8851,-1.6576,-0.0000,0.2520,3d52
3.91,-2.0700,-2.9656,-0.0001,0.4620,1kuk
3.71,-0.8034,-1.5395,-0.0019,0.2520,2vfk
3.69,0.2195,-1.3690,0.0000,0.1260,3d7b
3.72,-1.4634,-3.1498,-0.0084,0.6300,2am4
3.81,-1.1139,-2.8149,0.0000,0.1680,2hu6
3.49,-1.0942,-1.2098,-0.0048,0.0420,1utn
3.55,-2.3569,-1.9434,-0.0001,0.4620,2cle
3.22,-1.3033,-1.2808,0.0000,0.0420,1e6s
3.48,-0.8663,-1.2132,-0.0001,0.2940,2p3i
3.4,-1.0866,-1.3518,-0.0303,0.3360,2vvp
3.1,-1.3785,-1.2396,0.0000,0.2100,3f78
3.42,-1.1686,-1.6820,-0.0420,0.1680,2sim
4.39,-3.1619,-4.4201,-0.0057,1.2600,2avq
4.6,-1.1780,-1.4628,-0.0160,0.0420,1tx7
4.62,-1.5608,-2.3396,-0.0119,0.2940,2f6t
4.52,-1.1514,-1.3810,-0.0003,0.0420,1gu1
4.12,-0.8788,-0.6935,-0.0003,0.0840,3mam
4.34,-0.8192,-1.5643,-0.0059,0.2520,1z6s
4.6,-1.2905,-2.0343,0.0000,0.0420,2vb8
4.49,-3.2609,-4.4893,-0.0162,1.5540,3f9y
4.7,-0.9707,-1.6268,-0.0077,0.0000,3nkk
4.82,-0.5793,-1.4474,-0.0022,0.2520,3lxo
4.66,-0.8835,-1.3893,-0.0104,0.0000,1h4w
4.96,-1.7732,-2.0802,-0.0222,0.2100,3bxg
4,-0.9499,-1.4551,0.0000,0.0420,3m8t
4.4,-1.0165,-1.3091,-0.0075,0.0000,1p57
4.82,-1.3326,-1.7460,-0.0209,0.4620,3kmx
4.8,-0.8039,-1.8262,-0.0096,0.0000,1ghz
4.51,-0.8837,-0.9915,-0.0027,0.2100,3aas
4.72,-0.3531,-0.6758,-0.0330,0.1680,2o1c
4.26,-0.4645,-0.5418,0.0000,0.0000,3lk1
4.51,-0.8317,-1.8817,-0.0069,0.0000,1gi7
4.1,-0.9344,-1.7028,-0.0117,0.0420,1c5t
4.82,-0.6069,-1.4385,-0.0634,0.1680,1f8e
4.08,-0.9823,-0.8076,-0.0042,0.0840,2rke
4.2,-0.3728,-1.5189,-0.0027,0.2520,3djp
4.38,-0.7348,-0.8203,0.0000,0.1260,3guz
4.11,-0.6834,-2.0755,0.0000,0.2520,1z3v
4.59,-1.1763,-1.7947,-0.0010,0.2100,3hp9
4.68,-0.6920,-1.2493,-0.0100,0.0000,1c5p
4.15,-1.1818,-1.7265,-0.0112,0.3780,3c8e
5.85,-1.6052,-2.7201,-0.0088,0.3360,1qbn
5.57,-1.1856,-1.4732,-0.0056,0.2520,3bex
5.44,-3.4048,-3.0304,-0.0102,0.3780,2wr8
5.42,-1.3327,-1.5414,-0.0295,0.0420,2vpo
5.47,-1.0697,-1.4480,-0.0092,0.0000,1gi1
5.85,-0.8667,-1.8085,-0.0081,0.1680,1o2x
5.34,-1.6886,-1.6889,-0.0283,0.1680,1hee
5.05,-1.3715,-2.2264,-0.0019,0.3780,3aau
5.54,-2.0669,-3.7189,-0.0016,0.5460,3jyr
5.39,-2.4417,-2.8045,-0.0003,0.3360,1qbv
5.8,-2.9797,-3.9888,-0.0057,1.3020,3iaw
5.49,-1.8010,-1.4129,-0.0182,0.2940,1pot
5.4,-1.5376,-2.4943,-0.0083,0.1680,2qg2
5.1,-1.2218,-2.2382,0.0000,0.0840,2qrq
5.91,-1.1286,-1.6547,0.0000,0.3780,1ugx
5.71,-2.0041,-3.1029,-0.0134,0.2520,1n7m
5.68,-1.9473,-3.4739,-0.0097,0.5460,2c92
5.11,-1.1457,-2.0215,-0.0083,0.2520,1k4h
5.1,-1.4027,-1.1515,-0.0037,0.2100,1m6p
5.55,-0.7154,-1.6247,-0.0110,0.1260,1g3d
5.74,-1.2534,-2.0714,-0.0705,0.4200,2pqc
5.35,-1.4874,-1.1913,0.0000,1.4700,3hkn
5.72,-1.0304,-1.6063,-0.0022,0.5460,1obx
5.64,-1.4972,-2.8716,-0.0158,0.1680,1y3v
5.22,-0.8545,-2.3267,-0.0006,0.4200,2hxm
5.16,-0.6966,-1.6398,-0.0089,0.1260,3b27
5.39,-0.9338,-1.1440,0.0000,0.0000,3m1k
5.81,-1.3508,-2.5316,-0.0274,0.8400,1lkl
5.8,-1.4769,-2.4596,-0.0183,0.5040,3q72
6.64,-0.7422,-1.3802,-0.0224,0.1260,3fee
6.52,-1.8634,-2.3542,0.0000,0.2100,1zhy
6.81,-1.6276,-3.3525,0.0000,0.2940,2uwp
6.55,-2.0301,-1.8316,-0.0264,0.3780,1dhj
6.4,-1.2528,-1.5972,0.0000,0.1680,2nno
6.96,-1.0378,-1.7798,-0.0035,0.2100,1gj8
6.7,-1.2368,-1.6196,0.0000,0.0420,3eko
6.7,-1.1625,-1.5763,-0.0096,0.1260,1qy5
6.91,-0.7584,-1.5994,-0.0022,0.4200,3evc
6.34,-1.2136,-2.0562,0.0000,0.3780,1xq0
6.64,-0.4819,-1.0935,-0.0156,0.1260,1lcp
6.21,-3.7070,-4.2125,-0.0156,1.2600,3hlo
