pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
2.0000,-0.8924,-0.9144,-0.0041,0.2520,2r58
2.0700,-1.3808,-1.9616,-0.0091,0.0420,3ao4
2.1800,-1.2847,-3.0183,0.0000,0.1260,3l7d
2.2200,-1.0950,-1.4214,0.0000,0.0000,2aac
2.2600,-0.3989,-0.2161,0.0000,0.0840,1ew8
2.3000,-1.1002,-1.5435,0.0000,0.2100,3dyo
2.3000,-1.1043,-1.3726,0.0000,0.2520,4g0y
2.3700,-1.5776,-1.4097,0.0000,0.0420,3t0d
2.4000,0.0198,-1.3690,0.0000,0.2520,3dxg
2.4600,-1.4221,-2.2089,0.0000,0.0840,3l79
2.5100,-1.1961,-0.8007,0.0000,0.1260,3g30
2.5200,-1.0603,-1.3859,0.0000,0.2520,4g0q
2.5900,-1.2665,-1.7584,0.0000,0.0840,3gvb
2.6600,-2.1774,-2.7410,-0.0061,0.5040,3a1e
2.7000,-0.4818,-0.6364,-0.0100,0.0840,3bra
2.7500,-1.2567,-1.0016,0.0000,0.0420,1rql
2.8100,-0.1237,-1.6089,-0.0001,0.2520,3djx
2.8400,-1.8246,-2.0054,0.0000,0.0420,3zt2
2.8900,-0.9945,-1.1587,0.0000,0.2520,1iih
2.9200,-1.2683,-1.0563,0.0000,0.2100,2fw6
2.9400,-0.7006,-0.9997,0.0000,0.0840,2vmc
2.9600,-1.2565,-1.5883,-0.0000,0.0840,3imc
3.0000,-1.9604,-0.5991,0.0000,0.2100,1ecq
3.0000,-0.5724,-0.9987,0.0000,0.0000,3ime
3.0300,-1.0672,-1.2576,0.0000,0.1260,1ws5
3.0500,-1.4165,-1.4124,0.0000,0.3360,1f74
3.0800,-1.3929,-0.9585,-0.0075,0.0420,1y1z
3.1000,-1.3385,-1.2474,0.0000,0.2100,3f78
3.1600,-1.6404,-1.7272,-0.0007,0.0840,2ymd
3.1900,-0.3790,-1.5516,0.0000,0.4200,3dxh
3.2200,-0.5115,-0.2221,0.0000,0.0420,1ew9
3.2200,-1.0952,-1.5393,0.0000,0.0000,2uy3
3.2500,-3.0175,-3.1662,-0.0000,0.4200,3ta1
3.2800,-1.0301,-1.6655,-0.0000,0.2520,3d52
3.3000,-0.6223,-0.7150,0.0000,0.0840,1d7j
3.3000,-0.6428,-0.6107,0.0000,0.0420,3hcm
