pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
9.30,-0.7654,-1.0905,0.0000,0.0840,2iw4
4.45,-1.6303,-2.2248,0.0000,0.2940,2wbg
6.08,-1.5917,-2.2678,0.0000,0.2940,2wc3
5.29,-1.7168,-2.2422,0.0000,0.2940,2wc4
6.10,-2.3211,-3.2990,0.0000,0.5040,2yay
5.14,-2.0479,-2.4794,0.0000,0.2520,2yaz
3.85,-1.5720,-2.1362,0.0000,0.0840,2yb0
4.15,-1.5760,-1.5586,-0.0016,0.2520,2xg9
7.26,-1.2562,-1.2605,-0.0079,0.0000,2xib
7.20,-1.7286,-2.6595,-0.0138,0.1260,2xii
8.34,-4.1093,-4.0207,0.0000,0.7980,2xye
8.44,-4.0170,-3.9785,0.0000,0.7980,2xyf
6.40,-1.9890,-2.6012,0.0000,0.5880,2y8c
6.63,-2.2725,-2.2019,0.0000,0.2940,2yfe
8.12,-1.6155,-2.6619,0.0000,0.1680,2yi0
8.32,-1.7258,-2.5219,0.0000,0.2520,2yi7
3.92,-3.6400,-4.7126,-0.0001,1.3440,2yim
2.78,-1.5413,-0.7766,0.0000,0.1260,2yiv
3.16,-1.6404,-1.7272,-0.0007,0.0840,2ymd
7.66,-1.5079,-1.9896,-0.0002,0.0420,2yme
2.92,-0.8642,-0.9257,0.0000,0.2520,3alt
2.96,-1.7147,-2.0759,0.0000,0.2520,3dhv
4.72,-1.4694,-2.1647,0.0000,0.0420,3ebo
5.91,-1.6418,-2.3464,0.0000,0.0840,3ebp
8.89,-3.0484,-3.3162,-0.0013,0.5880,3ekp
10.59,-2.9110,-3.4399,-0.0025,0.5880,3ekt
9.41,-2.9446,-3.4340,-0.0002,0.5880,3ekv
7.96,-4.0732,-4.2245,0.0000,0.8400,3ekw
9.41,-3.3326,-3.8846,0.0000,0.4620,3ekx
9.64,-3.9473,-4.0919,0.0000,0.8400,3el1
7.17,-3.5588,-4.0731,0.0000,0.5460,3el4
7.72,-3.5938,-3.8260,0.0000,0.5040,3el5
8.40,-3.3637,-4.1558,0.0000,0.8400,3el9
5.43,-0.6024,-0.8317,0.0000,0.1260,3ng4
6.49,-1.7993,-3.2584,0.0000,0.5880,3nw3
3.48,-1.7749,-1.8519,-0.0022,0.0000,3nyd
7.62,-3.3421,-4.7438,0.0000,1.5960,3o4k
6.68,-1.9401,-1.3198,0.0000,0.2520,3o75
5.68,-1.8836,-2.2218,0.0000,0.2100,3oil
6.74,-2.0096,-1.9541,0.0000,0.2100,3oim
6.36,-1.9794,-1.9665,0.0000,0.2100,3oku
6.23,-1.8300,-2.4964,0.0000,0.2100,3okv
9.19,-1.7158,-2.2275,-0.0105,0.2940,3ozg
4.48,-2.3878,-2.6344,-0.0012,0.2520,3p17
7.25,-1.9370,-1.8685,0.0000,0.0840,3p3r
7.59,-2.8570,-1.4502,0.0000,0.0420,3p3s
7.24,-2.3799,-1.6288,0.0000,0.2940,3p3t
9.28,-2.9281,-4.1137,0.0000,0.7980,3p8n
8.72,-2.7107,-3.6886,0.0000,0.7980,3p8o
5.74,-1.1965,-2.1959,0.0000,0.3780,3pb7
5.24,-1.1210,-1.1173,-0.0036,0.1260,3pb8
6.58,-1.3183,-1.5034,0.0000,0.0840,3pb9
7.02,-1.8194,-2.1552,0.0000,0.3780,3pbb
6.44,-2.0054,-1.9640,0.0000,0.5880,3pfp
4.02,-2.2197,-2.6734,-0.0032,0.2940,3po1
3.35,-0.7256,-0.7990,0.0000,0.0840,3pwk
5.33,-1.0980,-0.7348,-0.0160,0.0840,3q1x
4.31,-1.2187,-3.0119,-0.0105,1.3860,3q5u
7.57,-2.3728,-3.5325,0.0000,0.2940,3q6w
4.97,-0.9064,-1.2709,-0.0029,0.0000,3qbc
8.77,-1.6339,-2.0242,-0.0077,0.1680,3qdd
4.17,-3.7321,-3.8508,-0.0005,1.0500,3qfd
6.37,-1.4660,-1.4276,0.0000,0.5880,3qlm
5.82,-1.5846,-1.7983,0.0000,0.0840,3qqs
4.82,-1.1355,-1.6507,0.0000,0.2100,3vd4
4.00,-1.2009,-1.6595,0.0000,0.2100,3vd9
2.52,-1.5181,-1.1403,0.0000,0.0420,3vdb
8.27,-2.1532,-2.3247,-0.0157,0.1680,4djy
6.52,-1.7617,-2.3207,-0.0000,0.0840,4dko
5.72,-1.7199,-2.3168,-0.0011,0.0840,4dkp
6.60,-2.2700,-2.6970,-0.0030,0.1680,4dkq
6.52,-2.0781,-2.3939,-0.0107,0.1680,4dkr
4.94,-0.6960,-2.0344,0.0000,0.4200,4dmw
7.29,-1.7354,-1.7531,-0.0063,0.0840,4do4
5.83,-1.3923,-1.3067,-0.0072,0.0420,4do5
5.37,-1.6527,-2.0555,0.0000,0.4200,3qt6
4.13,-2.2295,-2.9335,-0.0018,0.2520,3qto
4.65,-2.4366,-2.9609,-0.0014,0.2520,3qtv
6.45,-0.6352,-2.4219,-0.0244,0.7980,3qw5
4.26,-2.3290,-2.8015,-0.0001,0.2520,3qwc
4.20,-2.3033,-3.0684,-0.0001,0.2520,3qx5
4.84,-0.7292,-1.8543,0.0000,0.6720,3r0y
4.72,-1.2254,-2.3113,0.0000,0.0840,3r6c
8.36,-2.3805,-3.6973,-0.0000,0.2940,3r7o
4.82,-0.7134,-1.3365,0.0000,0.1680,3r88
9.43,-1.3727,-1.2524,0.0000,0.2520,3rbu
7.40,-1.7403,-1.6900,-0.0012,0.1260,3re4
4.55,-1.5737,-2.0974,-0.0066,0.0000,3rr4
8.80,-4.0452,-4.8267,0.0000,1.4280,3rt4
4.92,-1.5577,-1.7409,0.0000,0.2100,3rv8
8.60,-3.1998,-3.3048,-0.0002,0.5880,3s43
