pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
2.0000,80.2536,1123.9603,2.6955,0.0000,7.1695,14.6866,76.5429,0.0863,0.0000,0.0000,7.0000,2.0000,3c2f
2.0000,68.5293,563.6950,1.7417,29.7483,1.3365,1.3620,17.9813,0.0000,0.0000,0.0000,6.0000,3.0000,2r58
2.0000,56.8545,803.3505,2.2391,3.0665,4.8579,4.2739,18.2014,0.3602,1.0000,0.8573,2.0000,2.0000,3g2y
2.0500,77.0035,1395.5961,2.6157,0.0000,5.2483,10.0701,85.2809,0.2420,0.0000,0.5789,6.0000,8.0000,1jfh
2.0600,52.0847,612.3045,2.6373,1.2795,5.6274,1.9154,5.8458,0.0419,0.0000,0.0000,4.0000,2.0000,1qq9
2.0700,102.0307,1015.6293,2.7063,23.0193,1.4773,0.5694,26.5750,0.0000,0.3556,0.0000,1.0000,2.0000,3ao4
2.1200,122.0414,1470.5973,6.3958,3.6241,9.0981,12.7297,89.4516,0.5101,0.0000,0.8145,7.0000,3.0000,2w8w
2.1700,67.0303,1022.6793,1.8388,43.7392,3.3812,4.8981,39.5556,0.1406,4.4350,0.0000,3.0000,1.0000,3gqz
2.2100,42.9603,694.3664,1.1307,11.6294,2.6184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1x8d
2.2200,64.4245,816.3275,2.7119,13.3831,5.4590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,2aac
2.2200,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,6.0000,2.0000,1m0n
2.2200,105.0288,1365.6914,1.7788,0.0000,4.5133,40.8109,114.5151,1.1321,0.0000,2.9002,25.0000,2.0000,1icj
2.2300,47.9425,614.9164,1.9588,16.6814,4.5852,7.1213,14.2849,0.3487,0.0000,0.6566,3.0000,2.0000,2igv
