pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
9.0000,165.4946,2503.7654,4.0117,73.3459,4.5507,51.3061,443.5311,0.8393,7.6922,1.6223,22.0000,1.0000,1gvu
10.0000,152.2371,2071.3833,4.0206,72.3443,6.0493,24.7944,188.6274,0.4584,6.4929,0.0000,10.0000,0.0000,1bxo
6.9600,112.6411,1980.0054,2.1026,72.6711,4.8278,47.8262,337.4415,1.3709,10.4376,1.1274,19.0000,0.0000,1gvw
7.2200,165.6073,2628.7854,3.9803,84.2910,9.9260,75.5098,525.6876,2.1474,8.6166,3.3503,29.0000,1.0000,1gvx
10.3900,148.9134,2258.5667,3.4620,88.2951,3.9648,24.2231,269.2961,0.7013,8.7361,0.1407,9.0000,2.0000,1kzk
7.2500,118.1691,1535.8772,4.9962,20.1847,11.9635,12.9906,92.9673,0.5193,0.0000,0.3528,13.0000,3.0000,1jet
6.8200,121.2272,1785.6517,4.4988,24.1295,11.8837,13.8112,124.5394,0.0604,0.0000,0.0000,16.0000,3.0000,1jeu
8.7700,58.9419,591.1871,2.4745,14.0917,3.3294,2.2957,1.2448,0.0934,0.0000,0.4267,2.0000,1.0000,1qft
6.8900,160.5733,2186.1111,7.1332,48.4205,11.3700,19.3349,167.9819,0.4206,0.0000,0.0704,15.0000,3.0000,1jev
8.5200,118.3539,1928.0063,1.9546,142.4273,2.4220,2.9638,72.9274,0.2322,7.5977,0.0000,3.0000,0.0000,1fcy
9.3700,131.9705,1636.1508,3.8604,33.2591,8.1023,13.5956,103.4916,0.9835,0.0000,0.9771,7.0000,3.0000,1flm
4.0700,65.1438,791.6059,3.4678,6.2551,6.5922,6.3327,7.8687,0.3166,0.0000,0.0000,4.0000,0.0000,1hyo
4.9200,101.5605,1320.0076,3.2985,9.7413,7.0358,15.0015,159.1557,0.8404,0.0000,0.2431,8.0000,4.0000,1jr0
5.3200,147.9645,1779.6650,5.5719,0.0000,13.6969,16.4847,132.1146,0.2828,0.0000,0.7280,8.0000,3.0000,5p21
2.4800,62.0053,449.2169,0.9773,44.0895,1.9371,0.4485,2.4368,0.0000,0.0000,0.0000,1.0000,0.0000,1gyx
3.6400,51.6959,625.9785,1.6357,31.7077,3.9209,5.2298,16.1414,0.0068,0.6046,0.0000,2.0000,1.0000,1gyy
6.0000,60.2553,697.5211,1.3107,7.4924,3.3862,0.3648,8.5367,0.0000,0.0000,0.0000,1.0000,1.0000,1c5s
7.6300,83.1492,1142.9791,2.5318,21.4366,5.1338,2.6692,51.4546,0.1027,0.0000,0.4578,3.0000,1.0000,1c1r
4.1000,55.5947,739.2203,1.2073,4.1849,3.4550,0.3972,8.4905,0.0000,0.0000,0.0000,1.0000,1.0000,1c5t
7.1900,88.3133,990.0952,2.9202,11.0085,6.1327,3.1379,36.8411,0.2020,0.1220,0.6420,2.0000,2.0000,1gi4
3.8000,140.2533,1679.9744,3.2205,38.6377,3.4848,18.2781,151.4437,0.1428,0.5606,0.4817,9.0000,0.0000,1kug
9.2200,118.2940,1806.6064,2.1977,139.4771,2.9081,2.2988,65.5252,0.2135,6.9347,0.0000,4.0000,0.0000,1fcz
8.4000,128.6585,1970.6952,2.6736,138.2271,3.5493,4.5816,84.6904,1.0230,8.1307,0.0000,3.0000,1.0000,1fd0
5.4400,90.8558,970.4493,2.7781,10.4317,5.5550,4.2028,35.3555,0.4886,0.0000,0.9986,2.0000,2.0000,1gi2
4.8000,85.9784,952.5656,2.5924,6.5244,5.7067,4.1270,36.7544,0.3747,0.0000,0.8745,2.0000,2.0000,1ghz
3.8900,55.0413,852.5049,2.8456,31.0039,5.1548,4.8102,12.5852,0.0595,0.0000,0.0000,3.0000,1.0000,2ctc
