pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,PDB
13.00,2324.00,626.00,627.00,44.00,919.00,266.00,272.00,18.00,1157.00,297.00,299.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.84,1331.53,6.07,0.00,5.62,2ada
13.00,2054.00,539.00,591.00,0.00,438.00,106.00,120.00,0.00,542.00,139.00,158.00,0.00,232.00,56.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.76,1172.00,3.64,31.96,6.28,2gh7
12.72,977.00,326.00,286.00,10.00,0.00,0.00,0.00,0.00,2185.00,665.00,596.00,19.00,0.00,0.00,0.00,0.00,336.00,104.00,92.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.91,1152.86,6.17,0.00,10.89,1rbo
12.00,3899.00,940.00,1065.00,9.00,210.00,50.00,49.00,1.00,2511.00,616.00,675.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.56,1921.07,6.76,15.29,10.66,1agm
12.00,3947.00,977.00,1101.00,9.00,210.00,50.00,51.00,1.00,2565.00,645.00,725.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.05,1963.50,6.35,14.47,12.04,1gah
12.00,4098.00,1091.00,1186.00,0.00,221.00,60.00,59.00,0.00,2629.00,696.00,776.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.18,1908.27,7.80,15.49,11.60,1lf9
11.92,2011.00,554.00,586.00,35.00,456.00,118.00,128.00,7.00,1363.00,355.00,395.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.51,1376.23,8.47,6.13,9.76,1ctu
11.80,1109.00,353.00,344.00,18.00,899.00,276.00,280.00,20.00,1282.00,404.00,385.00,26.00,222.00,67.00,68.00,5.00,231.00,69.00,75.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.11,1210.04,11.20,2.05,18.19,1duv
11.52,3573.00,1047.00,1151.00,0.00,282.00,92.00,88.00,0.00,1349.00,413.00,451.00,0.00,0.00,0.00,0.00,0.00,189.00,59.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.85,1732.77,8.59,35.68,8.70,6cpa
11.42,5518.00,1369.00,1709.00,73.00,816.00,195.00,250.00,8.00,1349.00,334.00,410.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.37,2025.85,6.29,48.12,10.07,1lyb
11.40,6749.00,1875.00,2030.00,0.00,1226.00,338.00,360.00,0.00,872.00,243.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.36,2535.74,4.95,82.21,6.69,1hvj
11.40,5288.00,1456.00,1553.00,7.00,536.00,154.00,158.00,0.00,1333.00,363.00,398.00,1.00,186.00,52.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.80,2198.07,5.02,54.44,4.27,2i0a
11.35,5215.00,1447.00,1535.00,8.00,383.00,113.00,116.00,0.00,1303.00,356.00,390.00,0.00,189.00,53.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.74,2097.88,3.62,66.86,4.88,2hb3
11.30,5948.00,1684.00,1794.00,0.00,577.00,173.00,179.00,0.00,1078.00,298.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.90,2265.35,4.15,74.94,6.76,1pro
11.26,5130.00,1425.00,1504.00,2.00,804.00,221.00,233.00,0.00,1059.00,285.00,316.00,0.00,359.00,99.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.40,2169.78,4.56,46.52,4.24,1hpx
11.10,5265.00,1474.00,1587.00,0.00,321.00,93.00,96.00,1.00,889.00,243.00,267.00,1.00,150.00,43.00,42.00,1.00,0.00,0.00,0.00,0.00,414.00,117.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.23,2127.07,3.88,68.04,5.36,1d4y
11.06,2029.00,611.00,580.00,22.00,452.00,139.00,128.00,7.00,2111.00,639.00,616.00,17.00,0.00,0.00,0.00,0.00,191.00,58.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.94,1523.44,9.77,4.77,13.86,1eix
11.06,2022.00,561.00,560.00,14.00,445.00,126.00,132.00,2.00,2065.00,561.00,552.00,14.00,0.00,0.00,0.00,0.00,172.00,46.00,48.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.20,1493.35,8.43,5.53,12.87,1lor
11.05,1960.00,564.00,590.00,24.00,431.00,130.00,137.00,5.00,2121.00,602.00,621.00,21.00,0.00,0.00,0.00,0.00,202.00,58.00,54.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.58,1507.79,10.71,4.60,12.49,1dqx
11.05,7816.00,1648.00,2017.00,29.00,1550.00,329.00,406.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193.76,2629.16,5.28,150.63,3.28,1q84
10.96,6901.00,1915.00,2083.00,1.00,1237.00,349.00,363.00,0.00,1080.00,291.00,333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.71,2652.87,5.88,94.06,8.21,1hvk
10.96,2988.00,812.00,850.00,21.00,630.00,167.00,185.00,4.00,1699.00,451.00,503.00,8.00,0.00,0.00,0.00,0.00,220.00,59.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.37,1613.63,9.88,22.56,14.33,1m7y
10.92,6735.00,1878.00,2017.00,0.00,1225.00,339.00,366.00,0.00,1070.00,294.00,323.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.64,2605.22,5.65,83.00,8.17,1hvi
10.82,5903.00,1640.00,1751.00,3.00,953.00,269.00,284.00,0.00,930.00,253.00,278.00,0.00,269.00,77.00,88.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.80,2329.45,5.00,66.59,5.84,1hxw
10.80,4439.00,1180.00,1305.00,86.00,976.00,271.00,298.00,25.00,411.00,117.00,123.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.03,1786.03,8.99,87.40,4.74,1c4v
10.72,3564.00,855.00,768.00,23.00,250.00,59.00,53.00,2.00,247.00,57.00,52.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,686.00,161.00,153.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.01,1341.49,1.15,87.31,1.00,7std
