pbindaff,Hydrophobic,Ent,PDB
0.49,-0.8183,0.0000,1w8l
0.82,-0.9560,0.2100,1wkm
1.01,-1.0252,0.1680,2a31
1.28,-0.2204,0.0840,1f9g
1.30,-0.1539,0.1680,1b74
1.36,-0.2830,0.0000,1qpb
1.49,-1.2191,0.1260,1tnk
1.60,-0.6639,0.1680,1w8m
1.66,-0.5034,0.0000,1rdj
1.72,-0.3845,0.0420,2hdr
1.80,-0.9803,0.2520,1ga8
1.82,-1.1946,0.2940,1af6
1.82,-0.9759,0.1260,1d5r
1.84,-0.6997,0.0840,1rdn
1.88,-1.0159,0.0420,1tnl
1.90,-1.0678,0.1260,1f2p
1.91,-0.8766,0.1260,1f2o
1.96,-1.0156,0.0840,1tnj
2.05,-1.1604,0.4200,1jfh
2.06,-0.7454,0.2100,1qq9
2.06,-0.6779,0.0840,1rdi
2.10,-0.2962,0.4200,1njj
2.15,-0.5371,0.4200,1uxb
2.21,-1.0241,0.0000,1x8d
2.22,-1.7671,1.7220,1icj
2.22,-1.0292,0.0000,2aac
2.24,-0.4779,0.0420,1rdl
2.26,-0.4211,0.0840,1ew8
2.27,-0.7285,0.0840,1uto
2.28,-1.3183,0.0420,1ps3
2.30,-0.4939,0.4200,1uxa
2.30,-1.3773,0.0840,3pcg
2.31,-2.1140,0.3780,1m0o
2.35,-0.8627,0.2520,1qi0
2.39,-0.4911,0.5460,1nwl
2.40,-1.1145,0.0000,3pcb
2.44,-0.6112,0.0840,1oba
2.47,-0.7407,0.1260,1utl
2.48,-0.7945,0.0000,1gyx
2.50,-1.5550,0.0840,1ai4
2.57,-1.0276,0.2520,1gwv
2.60,-1.1175,0.2100,2c4v
2.63,-1.5452,0.0840,1ajn
2.68,-1.1376,0.2100,1o8b
2.72,-1.0017,0.2100,1pfu
2.75,-1.2712,0.0420,1rql
2.80,-0.7070,0.0420,2bza
2.89,-1.3664,0.3360,1cet
2.89,-0.8618,0.2520,1iih
2.89,-0.7246,0.0840,1ugp
2.92,0.1718,0.3780,2fkf
2.92,-1.1080,0.2100,2fw6
2.92,-1.1888,0.2100,2fwp
2.93,-0.7232,0.0420,1tng
2.96,-1.0937,0.0420,1ykp
2.96,-0.7449,0.0000,2br6
3.00,-2.0049,0.2100,1ecq
3.00,0.1917,0.1680,1hqg
3.00,-0.5054,0.2520,1ux7
3.00,-0.9745,0.1260,1ws4
3.01,-0.9642,0.0840,1utm
3.03,-1.0284,0.1260,1ws5
3.05,-1.9396,0.2940,1uj5
3.05,-1.8503,0.3360,1uj6
3.08,-1.2647,0.0420,1y1z
3.10,-1.5787,0.0840,1af2
3.10,-1.7028,0.1680,1ec9
3.10,-0.9154,0.0000,1pu7
3.10,-0.9333,0.0000,1pu8
3.13,-1.0057,0.0840,1ax0
3.15,-1.1247,0.0420,1e6q
3.18,-3.0233,0.6300,1ro7
3.20,-0.6371,0.0420,1axz
3.21,-1.3871,0.2520,6tim
3.22,-1.4895,0.1260,1br6
3.22,-1.2955,0.0420,1e6s
3.22,-0.4868,0.0420,1ew9
3.22,-1.2827,0.5460,1k1y
3.22,-1.1710,0.1260,1tog
3.23,-1.1209,0.2100,1px4
3.25,-0.9605,0.0000,1v2j
3.26,-1.6551,0.0840,5yas
