pbindaff,Hydrophobic,Ent,PDB
6.40,-1.4955,0.6300,10gs
5.62,-1.9421,0.7980,1a08
6.40,-2.0243,0.8820,1a1b
4.30,-1.5787,0.5040,1a30
5.30,-1.3284,0.0840,1a69
3.72,-1.5457,0.0840,1ai5
2.23,-1.5658,0.0840,1ajp
4.31,-1.2285,0.0840,1ajq
8.00,-1.6999,0.5880,1apw
3.90,-0.0424,0.0840,1avn
6.92,-1.8908,0.5880,1b39
8.02,-2.3091,0.6720,1b7h
10.64,-1.2516,0.0840,1b8o
5.96,-1.4415,0.6300,1b9j
3.28,-0.6499,0.0000,1bcu
4.59,-2.5102,0.5040,1bma
1.82,-0.9182,0.0000,1bra
10.00,-2.2680,0.4620,1bxo
7.57,-1.3261,0.2520,1d09
3.30,-0.6333,0.0840,1d7j
4.30,-0.7193,0.2520,1det
9.70,-2.0872,0.2100,1df8
7.26,-2.2218,0.3780,1dhi
4.92,-1.6796,0.2100,1e1v
7.64,-1.2747,0.0000,1e5a
9.89,-1.9668,0.0420,1e66
6.36,-2.0377,0.4200,1ela
7.15,-1.6616,0.5460,1elb
2.96,-0.9308,0.1260,1f4e
4.62,-0.6415,0.3780,1f4f
6.48,-0.6247,0.5040,1f4g
3.74,-0.6374,0.0000,1f5k
7.19,-3.5583,0.0840,1fcx
9.22,-3.4227,0.0840,1fcz
8.40,-3.5782,0.0840,1fd0
5.24,-1.3887,0.1680,1fh7
6.89,-1.3511,0.1680,1fh8
6.43,-1.4200,0.1680,1fh9
9.70,-2.1967,0.3780,1fkb
7.00,-1.7059,0.0000,1fki
8.80,-2.3354,1.2180,1fkn
10.00,-1.2814,0.0420,1flr
7.61,-1.5566,0.1260,1ftm
8.10,-2.7702,1.2600,1fzj
8.40,-2.9553,0.9660,1fzk
5.47,-1.9666,0.7560,1g7f
6.06,-1.9499,0.9240,1g7q
8.07,-2.1475,0.6300,1gni
5.37,-2.1414,0.0000,1gpk
8.35,-2.7286,0.6300,1h23
5.54,-2.0974,0.1680,1ha2
8.70,-3.5768,0.7560,1hfs
4.49,-1.2275,0.4200,1hi4
5.31,-1.6283,0.2940,1hk4
10.52,-1.7339,0.2520,1if7
7.00,-1.9211,0.8820,1is0
3.84,-0.8518,0.0000,1j16
5.22,-2.3694,0.1680,1j17
4.48,-1.5261,0.3360,1jaq
8.45,-2.4768,0.8400,1jq9
5.16,-1.4086,0.3780,1jqd
3.52,-0.7701,0.0000,1jys
5.85,-1.4627,0.2100,1k4g
6.52,-1.6706,0.0840,1k9s
5.94,-2.2628,0.0840,1kv1
4.22,-1.0187,0.2100,1kv5
4.59,-0.8494,0.1260,1l2s
6.39,-0.7534,0.2520,1lol
3.70,-1.2867,0.2520,1loq
2.22,-1.9150,0.3360,1m0n
