pbindaff,Hydrophobic,Ent,PDB
6.00,-1.8440,0.6720,1a1e
8.00,-1.0176,0.3360,1a4k
6.66,-1.7251,0.4200,1a4r
5.92,-2.6010,0.5460,1a4w
5.52,-1.2334,0.0420,1a8i
7.85,-4.3686,1.2180,1a94
5.70,-0.9338,0.1260,1a99
6.92,-3.5091,0.8400,1a9m
8.40,-2.7288,0.7560,1aaq
6.74,-2.1428,0.0840,1add
6.00,-0.7597,0.2520,1ado
6.62,-1.3549,0.5880,1afk
6.28,-1.2012,0.5880,1afl
2.50,-1.7368,0.0840,1ai4
4.09,-1.2652,0.0000,1ai7
4.82,-2.1770,0.2520,1aid
3.87,-1.4966,0.3780,1aj7
2.63,-1.5280,0.0840,1ajn
7.72,-3.1883,0.5880,1ajv
7.91,-3.4163,0.5880,1ajx
6.52,-0.9449,0.1260,1alw
4.30,-1.1119,0.2100,1amk
4.54,-1.9141,0.4200,1amw
9.00,-1.8458,0.5880,1apv
6.28,-1.5551,0.4200,1atl
3.13,-0.9898,0.0840,1ax0
3.20,-0.7979,0.0420,1axz
7.12,-1.6977,0.5880,1b05
6.70,-2.9143,0.6300,1b0h
7.03,-2.5860,0.6720,1b1h
4.54,-2.9123,0.6720,1b2h
7.10,-2.2642,0.7140,1b32
6.60,-1.7009,0.5880,1b38
6.89,-2.4700,0.6300,1b3f
6.70,-2.7871,0.6300,1b3g
6.21,-2.8459,0.6300,1b3h
5.89,-2.1768,0.5460,1b3l
7.28,-2.8913,0.6300,1b40
5.28,-2.2710,0.5040,1b46
5.46,-1.9464,0.6300,1b4h
5.23,-2.3373,0.6300,1b4z
7.37,-2.0275,0.5880,1b51
7.12,-1.4562,0.5880,1b52
7.40,-1.5213,0.6720,1b55
6.59,-2.9022,0.6300,1b58
6.01,-2.1023,0.5880,1b5h
7.05,-1.9959,0.6300,1b5i
7.43,-2.1305,0.6720,1b5j
7.82,-1.9693,0.6300,1b6h
7.92,-3.7904,0.5460,1b6j
8.74,-3.4313,0.5040,1b6k
8.30,-2.8175,0.2940,1b6l
8.40,-3.3550,0.5460,1b6m
10.52,-1.7727,0.0840,1b8n
7.85,-2.0722,0.2520,1b8y
7.70,-3.9223,1.2180,1bai
8.70,-0.8464,0.0420,1bcd
3.70,-0.5844,0.0840,1bcj
6.34,-3.7284,0.6720,1bdq
8.57,-1.7351,0.0000,1bgq
4.38,-2.2632,0.8400,1bhf
6.84,-2.4969,0.4200,1bhx
4.80,-1.3233,0.0840,1bju
5.54,-1.3266,0.2520,1bjv
7.52,-2.3014,0.1260,1bm7
9.34,-1.7136,0.2100,1bn1
9.89,-1.6746,0.1680,1bn3
9.31,-1.6680,0.2940,1bn4
10.00,-1.7390,0.1680,1bnn
9.49,-1.9614,0.2940,1bnq
9.80,-1.8222,0.1680,1bnt
