pbindaff,Hydrophobic,Ent,PDB
2.0000,-0.3295,0.0420,3g2y
2.1200,-1.0269,0.0000,3gv9
2.2100,-0.8563,0.2520,4g0z
2.2300,-0.8344,0.1260,2igv
2.2700,-0.6204,0.0840,1uto
2.3000,-1.2013,0.0000,3mhw
2.3500,-0.9466,0.2520,1qi0
2.3800,-3.6415,0.6300,3f6e
2.4400,-0.6377,0.0840,1oba
2.4700,-0.7654,0.1260,1utl
2.5200,-0.2660,0.0420,3gr2
2.5500,-0.4252,0.0000,3ovn
2.6200,-0.7213,0.0000,3f37
2.6900,-0.8394,0.0840,3elc
2.7200,-0.8980,0.1260,2rkd
2.7700,-1.1650,0.1680,3fcq
2.8200,-0.9440,0.0420,3ppr
2.8600,-1.1504,0.7980,3qx8
2.8900,-0.5462,0.0840,3g31
2.9200,-1.2304,0.2940,3k8c
2.9600,-1.7159,0.3780,2w8j
2.9700,-3.1419,0.3360,2hw2
3.0000,-0.5230,0.0420,2q8h
3.0100,-0.8655,0.2520,4g0p
3.0300,-0.9345,0.0840,3adv
3.0500,-1.7126,0.3360,1uj6
3.1000,-1.7886,0.1680,1ec9
3.1300,-0.9898,0.0840,1ax0
3.1800,-0.9434,0.3780,1lbk
3.2100,-0.7653,0.3360,1s5z
3.2200,-1.3181,0.1260,1tog
3.2300,-1.7616,0.2940,3zsy
3.2600,-1.7313,0.0840,5yas
3.2800,-1.6283,0.3780,3zsx
3.3000,-1.0208,0.2100,1tpw
3.3200,-1.6208,0.1680,1pzo
3.3400,-1.6154,0.0840,3f33
3.3700,-0.9590,0.0000,1v2u
3.4000,-2.8639,0.5040,1bxr
3.4000,-1.2374,0.0420,1uz4
3.4000,-1.5961,0.8820,3jzh
3.4200,-2.2057,0.0840,3iob
3.4600,-1.2040,0.2100,3muz
3.4800,-1.7749,0.0000,3nyd
3.5100,-1.5624,0.5880,2r0h
3.5200,-0.2182,0.1260,3mfw
3.5500,-0.3220,0.1680,2qwc
3.5900,-1.2249,0.0000,1nli
3.6000,-0.1752,0.2940,2qpu
3.6000,-1.5738,0.2100,3g0i
3.6200,-0.9785,0.0000,1pb9
3.6600,-0.8940,0.4200,2qv7
3.6600,-1.2962,0.0420,3t2q
3.6800,-0.8932,0.1260,3isj
3.7000,-2.2144,0.5880,1gz3
3.7000,-1.7388,0.4620,2bvr
3.7100,-1.1679,0.2100,3fj7
3.7200,-0.9423,0.6300,2r23
3.7400,-1.6570,0.1260,2wq5
3.7700,-1.6465,0.4200,1kui
3.7900,-1.1946,0.2520,2clk
3.8000,-1.2674,0.0420,3t09
3.8200,-1.1227,0.1260,3g2h
3.8500,-1.5720,0.0840,2yb0
3.8700,-1.9356,0.5040,1v16
3.8900,-4.2288,0.6720,3iae
3.9000,-1.6987,0.3360,2gvv
3.9000,-0.9482,0.1260,2wor
3.9200,-3.6400,1.3440,2yim
3.9400,-2.1023,0.5040,1v1m
3.9600,-1.9545,0.6720,2wec
3.9800,-1.5563,0.1260,3b3c
4.0000,-1.8529,0.2100,1nu3
4.0000,-0.7392,0.0840,2qrl
4.0000,-0.8961,0.0420,3m8t
4.0200,-1.0490,0.0420,2wvz
4.0300,-2.0398,0.2520,3bxh
4.0500,-1.4515,0.1260,1toi
4.0500,-1.7077,0.0000,3n8k
4.0700,-1.1902,0.1680,1hyo
4.0900,-1.2652,0.0000,1ai7
4.1000,-1.2793,0.0840,1odj
4.1100,-0.7796,0.2520,1z3v
4.1200,-2.1071,0.3780,3ivc
4.1300,-2.2295,0.2520,3qto
4.1500,-1.5760,0.2520,2xg9
4.1500,-1.9257,0.0420,3sus
4.1700,-3.4047,1.3440,4b9w
4.1900,-1.5398,0.0420,3cft
4.2000,-1.6978,0.0000,1c87
4.2100,-1.7812,0.0840,1odi
4.2200,-0.7474,0.2520,1t5f
4.2300,-1.3518,0.0000,2jkp
4.2600,-1.2295,0.2520,2qrk
4.2800,-2.6917,0.6720,3f5j
4.2900,-1.9373,0.2100,2wuf
4.3000,-1.6300,0.2520,1w3k
4.3000,-2.4572,1.0080,3obu
4.3100,-1.2187,1.3860,3q5u
4.3300,-1.6827,0.1260,3l7a
4.3500,-1.4325,0.0000,1ghv
4.3600,0.1474,0.1260,2ez7
4.3800,-0.7637,0.1260,3guz
4.4000,-0.9507,0.0000,1p57
4.4100,-1.6905,0.5040,1olu
4.4100,-0.5405,0.1260,4exs
4.4300,-0.8877,0.5880,2we3
4.4300,-1.1361,0.0420,4dsy
4.4700,-1.9324,0.2100,2r2w
4.4800,-1.9756,0.3780,2ogy
4.4900,-0.8372,0.0000,1j14
4.4900,-1.8276,0.1680,4el0
4.5100,-0.7631,0.1260,2r1y
4.5200,-1.0530,0.0420,1gu1
4.5200,-2.7222,0.5460,2wm0
4.5400,-1.9141,0.4200,1amw
4.5400,-2.3377,0.2520,2zz1
4.5500,-0.9377,0.2520,3djv
4.5700,-1.1806,0.1260,3sym
4.5900,-1.1758,0.2100,3hp9
4.6000,-1.1330,0.0420,1tx7
4.6000,-1.3226,0.0420,2vb8
4.6000,-0.6739,0.6300,3iqg
4.6200,-0.7568,0.0000,1ofz
4.6200,-1.1192,0.5880,3u90
4.6600,-0.9012,0.0000,1h4w
4.6600,-1.3820,0.3360,3mss
4.6800,-0.8582,0.0420,2uy4
4.7000,-1.2272,0.0420,1c5n
4.7000,-1.8569,0.4200,2i2c
4.7000,-1.5198,0.0000,3nkk
4.7100,-0.8490,0.7140,3ny3
4.7200,-1.3283,1.0920,3omg
4.7400,-2.4743,0.7560,2ov4
4.7500,-2.5784,0.7140,3nim
4.7700,-0.6612,0.1260,2afw
4.7700,-0.7654,0.0840,3rm9
4.8000,-1.3233,0.0840,1bju
4.8100,-1.7854,0.5040,4ago
4.8200,-1.2849,0.1680,1xff
4.8200,-1.2458,0.2100,2ypi
4.8400,-0.7292,0.6720,3r0y
4.8500,-1.1597,0.1260,1xgi
4.8500,-1.1486,0.2520,3f70
4.8600,-1.7602,0.2100,2brb
4.8900,-0.9422,0.1260,1p1q
4.8900,-2.7546,0.6300,3juk
4.9100,-1.7724,1.2180,3rdv
4.9200,-0.7649,0.0840,2haw
4.9300,-1.6791,0.0420,3uxk
4.9400,-0.6960,0.4200,4dmw
4.9600,-1.9928,0.9660,1elr
4.9600,-1.5376,0.0420,2w67
4.9700,-0.9064,0.0000,3qbc
5.0000,-0.2379,0.0840,1hlk
5.0000,-1.4990,0.9660,1sts
5.0000,-2.6922,1.1340,3dvp
5.0100,-2.8104,0.7560,1ppi
5.0200,-2.8067,0.5880,2xbp
5.0500,-2.3443,0.0840,1fkw
5.0600,-1.7932,0.4200,2v77
5.0700,-1.1093,0.0840,3juo
5.0900,-1.5684,0.4620,1m48
5.1000,-1.1923,0.1680,1od8
5.1000,-1.2740,0.0840,2qrq
5.1000,-2.2691,0.3780,3ujb
5.1100,-1.3107,0.0420,3k4d
5.1200,-2.8979,0.6720,2web
