pbindaff,Hydrophobic,Ent,PDB
2.68,-1.1687,0.2100,1o8b
2.97,-2.7487,0.3360,2hw2
2.47,-0.7407,0.1260,1utl
2.9,-2.0855,0.5040,3c2u
2.59,-0.8586,0.0840,3gvb
2.62,-0.5969,0.0000,3f37
2.38,-3.4498,0.6300,3f6e
2.7,-0.9511,0.0420,2uyn
2.96,-0.7429,0.0000,2br6
2.3,-1.2245,0.2100,3dyo
2.17,-0.6903,0.1260,3gqz
2.52,-0.2536,0.0420,3gr2
2.81,-0.0434,0.2520,3djx
2.62,-1.2886,0.0000,3f38
2.48,-0.7944,0.0000,1gyx
2.96,-0.1167,0.0840,3g34
2.28,-1.1860,0.0840,3ip8
2.51,-0.8688,0.1260,3g30
2.96,-1.6475,0.3780,2w8j
2,-0.4433,0.0420,3g2y
2.36,-0.2984,0.0000,3g2z
2.22,-1.0292,0.0000,2aac
2.89,-0.5813,0.0840,3g31
2.06,-0.8202,0.2100,1qq9
2.21,-1.0241,0.0000,1x8d
2.23,-0.7431,0.1260,2igv
2.89,-1.0974,0.0420,3f36
2.23,-1.5986,0.0420,3ao5
2.89,-0.7236,0.0840,1ugp
3.37,-0.9669,0.0000,1v2u
3.9,-0.9633,0.1260,2wor
3.93,-0.9457,0.5880,2cbz
3.42,-1.4728,0.0840,3iob
3.31,-2.1022,0.2940,1pzp
3.34,-0.7754,0.3360,2xoi
3.7,-0.9760,0.0000,2fx6
3.75,-1.4644,0.5040,2iyf
3.58,-1.2223,0.0000,3dx1
3.85,-1.1469,0.1680,1n1t
3.9,-1.2887,0.1260,2wos
3.05,-1.8509,0.3360,1uj6
3.56,-0.9308,0.3360,2hrm
3.28,-0.8851,0.2520,3d52
3.91,-2.0700,0.4620,1kuk
3.71,-0.8034,0.2520,2vfk
3.69,0.2195,0.1260,3d7b
3.72,-1.4634,0.6300,2am4
3.81,-1.1139,0.1680,2hu6
3.49,-1.0942,0.0420,1utn
3.55,-2.3569,0.4620,2cle
3.22,-1.3033,0.0420,1e6s
3.48,-0.8663,0.2940,2p3i
3.4,-1.0866,0.3360,2vvp
3.1,-1.3785,0.2100,3f78
3.42,-1.1686,0.1680,2sim
4.39,-3.1619,1.2600,2avq
4.6,-1.1780,0.0420,1tx7
4.62,-1.5608,0.2940,2f6t
4.52,-1.1514,0.0420,1gu1
4.12,-0.8788,0.0840,3mam
4.34,-0.8192,0.2520,1z6s
4.6,-1.2905,0.0420,2vb8
4.49,-3.2609,1.5540,3f9y
4.7,-0.9707,0.0000,3nkk
4.82,-0.5793,0.2520,3lxo
4.66,-0.8835,0.0000,1h4w
4.96,-1.7732,0.2100,3bxg
4,-0.9499,0.0420,3m8t
4.4,-1.0165,0.0000,1p57
4.82,-1.3326,0.4620,3kmx
4.8,-0.8039,0.0000,1ghz
4.51,-0.8837,0.2100,3aas
