pbindaff,Hydrophobic,Ent,PDB
2.00,-0.4770,0.0420,3g2y
2.00,-1.2879,0.0840,3pce
2.05,-1.1604,0.4200,1jfh
2.06,-0.7880,0.2100,1qq9
2.12,-0.8327,0.0000,3gv9
2.16,-1.1941,0.2520,4tim
2.17,-0.6903,0.1260,3gqz
2.21,-1.0241,0.0000,1x8d
2.22,-1.7395,1.7220,1icj
2.22,-1.9150,0.3360,1m0n
2.22,-1.0453,0.0000,2aac
2.23,-1.5658,0.0840,1ajp
2.26,-0.4211,0.0840,1ew8
2.27,-0.7285,0.0840,1uto
2.28,-1.3164,0.0420,1ps3
2.28,-1.1860,0.0840,3ip8
2.30,-1.2245,0.2100,3dyo
2.30,-1.3395,0.0840,3pcg
2.31,-2.1140,0.3780,1m0o
2.35,-0.8627,0.2520,1qi0
2.35,-0.6675,0.0840,3gtc
2.36,-0.2984,0.0000,3g2z
2.37,-1.0720,0.2520,6rnt
2.38,-3.4811,0.6300,3f6e
2.44,-0.6029,0.0840,1oba
2.44,-1.1720,0.0420,2i2b
2.47,-0.6881,0.0000,1tok
2.47,-0.7407,0.1260,1utl
2.48,-0.7945,0.0000,1gyx
2.50,-1.5550,0.0840,1ai4
2.51,-0.8688,0.1260,3g30
2.52,-0.7069,0.4200,3bf1
2.52,-0.2536,0.0420,3gr2
2.54,-2.0999,0.7560,2qv4
2.55,-1.1077,0.5040,1kf0
2.57,-1.0170,0.2520,1gwv
2.57,-0.9246,0.0420,3kgp
2.59,-0.8586,0.0840,3gvb
2.60,-0.7947,0.2520,2r5a
2.63,-1.5452,0.0840,1ajn
2.66,-1.5672,0.5040,3a1e
2.68,-1.1024,0.2100,1o8b
2.69,-1.0409,0.0840,3elc
2.70,-0.5781,0.2940,2fzc
2.70,-0.4672,0.0840,3bra
2.70,-0.9067,0.0840,3gsg
2.72,-1.0017,0.2100,1pfu
2.72,-0.8539,0.1260,2rkd
2.74,-0.3431,0.2100,2qwb
2.74,-0.8149,0.2520,2vyt
2.75,-1.2712,0.0420,1rql
2.77,-0.9525,0.2940,2bet
2.80,-0.7263,0.0420,2bza
2.81,-0.0581,0.2520,3djx
2.89,-1.3621,0.3360,1cet
2.89,-0.8618,0.2520,1iih
2.89,-0.7246,0.0840,1ugp
2.89,-0.5813,0.0840,3g31
2.90,-2.0855,0.5040,3c2u
2.92,-1.0886,0.2100,2fw6
2.92,-1.1954,0.2100,2fwp
2.93,-0.7229,0.0420,1tng
2.96,-0.9308,0.1260,1f4e
