pbindaff,Hydrophobic,Ent,PDB
9.00,-1.9487,0.9240,1gvu
10.00,-2.3523,0.4620,1bxo
6.96,-2.0927,0.8820,1gvw
7.22,-3.0202,1.2600,1gvx
10.39,-3.3619,0.3780,1kzk
7.25,-2.0139,0.5460,1jet
6.82,-1.6953,0.6720,1jeu
8.77,-1.2130,0.0840,1qft
6.89,-3.1867,0.6300,1jev
8.52,-3.6435,0.0840,1fcy
9.37,-1.9618,0.3780,1flm
4.07,-1.0337,0.1680,1hyo
4.92,-1.0000,0.3780,1jr0
5.32,-1.8999,0.5040,5p21
2.48,-0.8233,0.0000,1gyx
3.64,-0.8925,0.0420,1gyy
6.00,-1.1922,0.0420,1c5s
7.63,-0.9015,0.0840,1c1r
4.10,-0.9409,0.0420,1c5t
7.19,-0.9547,0.0000,1gi4
3.80,-2.0502,0.3780,1kug
9.22,-3.3777,0.0840,1fcz
8.40,-3.6954,0.0840,1fd0
5.44,-1.2152,0.0000,1gi2
4.80,-1.0541,0.0000,1ghz
3.89,-1.4467,0.1260,2ctc
6.55,-2.2543,0.6720,1hmr
6.37,-2.2209,0.6300,1hms
5.79,-2.5628,0.6720,1hmt
5.54,-2.9445,0.7140,2olb
3.40,-0.7448,0.1680,1f8d
4.82,-0.4441,0.1680,1f8e
7.38,-2.1124,0.9240,1bxq
4.68,-0.7574,0.0000,1c5p
6.36,-0.9788,0.0420,1c5q
5.63,-1.0676,0.9240,1vwl
3.91,-2.1787,0.4620,1kuk
7.19,-3.6462,0.0840,1fcx
6.00,-2.0790,0.2100,2izl
4.00,-1.8668,0.0420,8abp
5.77,-1.1438,0.0420,1gi6
6.70,-1.3268,0.4200,2sns
10.64,-1.1693,0.0840,1b8o
4.70,-1.1850,0.0420,1c5n
5.30,-3.4859,1.3020,1hn4
6.49,-1.6917,0.0840,1gj6
8.05,-1.6283,0.0840,1gj7
5.20,-0.7201,0.2100,1kll
3.77,-1.8889,0.4200,1kui
3.70,-1.4581,0.2520,1loq
9.70,-1.7954,0.2100,1df8
2.06,-0.9262,0.2100,1qq9
5.42,-1.2725,0.0840,1gja
3.46,-0.7987,0.2100,1moq
9.09,-2.1218,0.3780,1akr
3.28,-1.0243,0.2520,1gzc
7.05,-1.2130,0.3780,1nox
5.89,-1.5613,0.2100,2tmn
8.04,-2.1205,0.6720,5tmn
5.05,-1.7751,0.7560,6tmn
5.36,-1.3892,0.5880,1adl
9.43,-1.6246,0.1260,1cil
3.42,-0.7093,0.1680,2sim
6.88,-1.4140,0.0000,2dri
2.22,-0.9566,0.0000,2aac
5.22,-1.3118,0.6300,16pk
3.55,-0.6015,0.1680,2qwc
9.28,-1.8653,0.3360,830c
3.05,-1.3446,0.3360,1f74
4.70,-2.3701,0.7980,1jkx
6.06,-2.1989,0.9240,1g7q
5.60,-1.1142,0.0840,1gi5
2.54,-0.5590,0.0420,1iup
3.84,-0.9488,0.0000,1j16
11.06,-1.1994,0.2520,1lor
6.96,-1.6657,0.1260,1c5c
4.14,-0.9343,0.6720,1gny
7.44,-2.5836,0.3360,1ciz
6.96,-1.0561,0.2100,1gj8
6.70,-1.0510,0.4200,1snc
6.08,-1.9334,0.0840,1sri
6.64,-0.5347,0.1260,1lcp
5.15,-1.3315,0.2520,1qk3
11.11,-3.0613,0.2940,3std
8.28,-0.8879,0.0000,1c2d
5.40,-1.3650,0.0000,1ghx
5.64,-1.0919,0.0000,6abp
5.54,-1.6466,0.0000,7abp
5.46,-1.4746,0.2520,1anf
8.62,-2.0906,0.3780,4dfr
4.50,-0.9555,0.0000,3ptb
10.17,-2.2055,0.6720,4tmn
5.90,-1.3523,0.2520,3tmn
9.40,-2.1788,0.3780,1fkf
9.70,-2.1994,0.3780,1fkb
6.70,-1.4045,0.0420,1gca
3.40,-1.1680,0.0000,1l83
5.00,-1.2422,0.7980,1pip
8.55,-2.7785,0.8820,1ppl
5.80,-2.1660,0.9240,1ppm
