pbindaff,Hydrophobic,Ent,PDB
2.0500,-1.0719,0.4200,1jfh
2.1700,-0.7473,0.1260,3gqz
2.2200,-1.8239,0.3360,1m0n
2.2300,-1.4471,0.0420,3i3b
2.2800,-1.3008,0.0840,3ip8
2.3000,-2.3836,0.4200,3rv4
2.3600,-0.5876,0.0000,3g2z
2.3900,-0.8364,0.5460,1nwl
2.4400,-1.4513,0.0840,3l7c
2.5000,-1.7368,0.0840,1ai4
2.5200,-1.5181,0.0420,3vdb
2.5700,-0.9617,0.0420,3kgp
2.6300,-1.5280,0.0840,1ajn
2.7000,-0.9390,0.0420,2uyn
2.7400,-0.7951,0.2520,2vyt
2.8000,-0.8188,0.0420,2bza
2.8400,-1.0048,0.2100,3moh
2.8900,-1.4249,0.3360,1cet
2.9000,-2.1020,0.5040,3c2u
2.9300,-0.9634,0.0420,1tng
2.9600,0.0964,0.0840,3g34
2.9800,-0.6917,0.4200,3djq
3.0000,-1.1509,0.0840,2v3u
3.0300,-0.7732,0.0000,1ogd
3.0400,-1.5069,0.4200,3t1m
3.0700,-0.6558,0.0000,3mof
3.1000,-0.5941,0.0840,3buf
3.1500,-1.1711,0.0420,1e6q
3.1800,-0.8664,0.1260,3bug
3.2200,-1.3817,0.0420,1e6s
3.2200,-0.1482,0.0000,2ri9
3.2500,-0.9503,0.0000,1v2j
3.2800,-0.8000,0.0000,1bcu
3.2900,-3.4003,1.1340,4f20
3.3000,-1.5775,0.6300,3aaq
3.3300,-1.7982,0.5880,1jlr
3.3500,-0.7256,0.0840,3pwk
3.3700,-1.0222,0.0840,3n35
3.4000,-3.2851,0.8400,1ikt
3.4000,-1.5092,0.0000,223l
3.4200,-0.8900,0.2520,2qtn
3.4300,-1.9471,0.0840,3axz
3.4700,-1.0119,0.1260,4epy
3.4900,-0.9837,0.2520,1gzc
3.5200,-0.9881,0.2100,2j27
3.5400,-1.7489,0.7980,3obq
3.5700,-1.4111,0.2940,1h46
3.5900,-0.9317,0.2520,2nn8
3.6000,-0.9652,0.0420,2xdk
3.6000,-1.0591,0.4620,3m3o
3.6400,-1.6724,0.2100,2azr
3.6600,-1.2218,0.1260,3buh
3.6600,-2.4571,0.5040,4fl2
3.6900,-1.4838,0.0840,2a8g
3.7000,-1.5920,0.2520,1loq
3.7000,-0.7302,0.0840,3l59
3.7200,-1.4802,0.0840,1ai5
3.7200,-1.0117,0.1260,4tln
3.7500,-0.4252,0.1260,3d6p
3.7700,-0.5711,0.2520,2y9g
3.8000,-1.2589,0.0000,1li6
3.8100,-1.3243,0.1680,2hu6
3.8400,-0.8138,0.0420,1utj
3.8600,-1.3490,0.1680,3lbz
3.8800,-2.4787,0.2520,3si4
3.8900,-0.9055,0.3780,4aj4
3.9000,-1.0958,0.4620,2rkm
