pbindaff,Hydrophobic,Ent,PDB
6.4000,-1.4307,0.6300,10gs
5.8200,-1.7622,0.9240,11gs
5.6200,-2.2002,0.7980,1a08
7.5700,-1.9786,0.5040,1a0q
6.4000,-1.9237,0.8820,1a1b
6.4000,-2.1376,0.7140,1a1c
6.0000,-1.6231,0.6720,1a1e
8.0000,-0.9700,0.3360,1a4k
6.6600,-1.6732,0.4200,1a4r
5.9200,-1.9634,0.5460,1a4w
5.3000,-1.3259,0.0840,1a69
5.5200,-1.0813,0.0420,1a8i
7.8500,-3.4770,1.2180,1a94
5.7000,-0.9616,0.1260,1a99
6.9200,-3.3650,0.8400,1a9m
8.4000,-2.2537,0.7560,1aaq
6.7400,-2.2786,0.0840,1add
6.0000,-0.7281,0.2520,1ado
6.6200,-1.3180,0.5880,1afk
6.2800,-1.2797,0.5880,1afl
2.5000,-1.5550,0.0840,1ai4
3.7200,-1.5457,0.0840,1ai5
4.0900,-1.1492,0.0000,1ai7
4.8200,-2.0715,0.2520,1aid
5.9200,-1.5823,0.5460,1aj6
3.8700,-1.6276,0.3780,1aj7
2.6300,-1.5452,0.0840,1ajn
2.2300,-1.5658,0.0840,1ajp
4.3100,-1.2285,0.0840,1ajq
7.7200,-3.4691,0.5880,1ajv
7.9100,-2.8424,0.5880,1ajx
6.5200,-0.9195,0.1260,1alw
4.3000,-1.0601,0.2100,1amk
4.5400,-1.2821,0.4200,1amw
9.0000,-1.4303,0.5880,1apv
8.0000,-1.5734,0.5880,1apw
6.2800,-1.5504,0.4200,1atl
3.9000,-0.0424,0.0840,1avn
3.1300,-1.0076,0.0840,1ax0
3.2000,-0.6495,0.0420,1axz
7.1200,-1.6165,0.5880,1b05
6.7000,-2.6463,0.6300,1b0h
7.0300,-2.3106,0.6720,1b1h
4.5400,-2.6915,0.6720,1b2h
7.1000,-2.0024,0.7140,1b32
6.6000,-1.8128,0.5880,1b38
6.8900,-2.4251,0.6300,1b3f
6.7000,-2.0490,0.6300,1b3g
6.2100,-2.4659,0.6300,1b3h
5.8900,-1.5924,0.5460,1b3l
7.2800,-2.6073,0.6300,1b40
5.2800,-1.9884,0.5040,1b46
5.4600,-1.7427,0.6300,1b4h
5.2300,-1.9222,0.6300,1b4z
7.3700,-1.5815,0.5880,1b51
7.1200,-1.9230,0.5880,1b52
7.4000,-1.4491,0.6720,1b55
6.5900,-1.7477,0.6300,1b58
6.0100,-1.8881,0.5880,1b5h
7.0500,-1.7858,0.6300,1b5i
