pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,PDB
6.00,-1.8440,-2.2065,0.0000,0.6720,83.0549,1184.0800,5.3453,29.5745,8.2710,0.0667,2270.0000,667.0000,649.0000,35.0000,236.0000,77.0000,66.0000,5.0000,904.0000,286.0000,272.0000,14.0000,0.0000,0.0000,0.0000,0.0000,126.0000,41.0000,40.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a1e
8.00,-1.0176,-2.5028,0.0000,0.3360,84.4441,1470.1277,2.3405,41.9288,0.3660,0.1429,3229.0000,948.0000,890.0000,12.0000,426.0000,131.0000,126.0000,2.0000,856.0000,260.0000,228.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a4k
6.66,-1.7251,-2.7313,-0.0080,0.4200,118.7047,1290.9684,5.8838,0.0000,6.3700,0.1176,1388.0000,353.0000,441.0000,20.0000,880.0000,228.0000,277.0000,14.0000,1446.0000,353.0000,426.0000,22.0000,0.0000,0.0000,0.0000,0.0000,310.0000,76.0000,87.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a4r
5.92,-2.6010,-2.8234,-0.0052,0.5460,99.0798,1833.4337,5.0998,44.2083,6.1157,0.0714,4145.0000,1084.0000,1244.0000,90.0000,1136.0000,309.0000,345.0000,25.0000,537.0000,132.0000,158.0000,13.0000,226.0000,64.0000,72.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a4w
5.52,-1.2334,-1.9488,0.0000,0.0420,75.3172,1135.3738,3.2711,0.0000,7.7358,0.2500,1632.0000,538.0000,567.0000,11.0000,415.0000,131.0000,135.0000,0.0000,1441.0000,456.0000,492.0000,11.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a8i
7.85,-4.3686,-4.2150,-0.0146,1.2180,141.4094,2738.4905,7.0474,61.3570,7.0264,0.0339,6028.0000,1684.0000,1764.0000,7.0000,1478.0000,411.0000,425.0000,3.0000,1430.0000,397.0000,428.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a94
5.70,-0.9338,-0.8411,-0.0196,0.1260,54.5830,456.2386,2.5660,27.1777,3.0362,0.2000,938.0000,215.0000,272.0000,7.0000,467.0000,108.0000,134.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a99
6.92,-3.5091,-3.7563,-0.0000,0.8400,111.6643,2157.3525,4.6991,42.9297,5.6070,0.0488,4868.0000,1385.0000,1379.0000,4.0000,1148.0000,343.0000,330.0000,3.0000,1079.0000,307.0000,307.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1a9m
8.40,-2.7288,-2.6270,-0.0113,0.7560,106.0679,1982.9342,9.0832,47.2741,8.8956,0.0526,4651.0000,1295.0000,1361.0000,3.0000,799.0000,226.0000,243.0000,1.0000,1118.0000,302.0000,329.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1aaq
