pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
6.0000,2270.0000,667.0000,649.0000,35.0000,236.0000,77.0000,66.0000,5.0000,904.0000,286.0000,272.0000,14.0000,0.0000,0.0000,0.0000,0.0000,126.0000,41.0000,40.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.0549,1184.0800,5.3453,29.5745,8.2710,25.2784,200.9525,0.6097,8.4462,0.0000,0.0667,1a1e
8.0000,3229.0000,948.0000,890.0000,12.0000,426.0000,131.0000,126.0000,2.0000,856.0000,260.0000,228.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.4441,1470.1277,2.3405,41.9288,0.3660,6.4004,110.9751,1.0175,4.6669,0.0000,0.1429,1a4k
6.6600,1388.0000,353.0000,441.0000,20.0000,880.0000,228.0000,277.0000,14.0000,1446.0000,353.0000,426.0000,22.0000,0.0000,0.0000,0.0000,0.0000,310.0000,76.0000,87.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.7047,1290.9684,5.8838,0.0000,6.3700,11.3795,108.4410,0.1183,0.0000,0.0000,0.1176,1a4r
5.9200,4145.0000,1084.0000,1244.0000,90.0000,1136.0000,309.0000,345.0000,25.0000,537.0000,132.0000,158.0000,13.0000,226.0000,64.0000,72.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0798,1833.4337,5.0998,44.2083,6.1157,32.0104,262.6822,1.3976,12.2710,0.0000,0.0714,1a4w
5.5200,1632.0000,538.0000,567.0000,11.0000,415.0000,131.0000,135.0000,0.0000,1441.0000,456.0000,492.0000,11.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.3172,1135.3738,3.2711,0.0000,7.7358,1.3291,7.4429,0.0001,0.0000,0.0117,0.2500,1a8i
7.8500,6028.0000,1684.0000,1764.0000,7.0000,1478.0000,411.0000,425.0000,3.0000,1430.0000,397.0000,428.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141.4094,2738.4905,7.0474,61.3570,7.0264,57.0599,417.1880,6.0776,7.1228,1.0474,0.0339,1a94
5.7000,938.0000,215.0000,272.0000,7.0000,467.0000,108.0000,134.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.5830,456.2386,2.5660,27.1777,3.0362,0.0021,1.9428,0.0000,0.0000,0.0000,0.2000,1a99
6.9200,4868.0000,1385.0000,1379.0000,4.0000,1148.0000,343.0000,330.0000,3.0000,1079.0000,307.0000,307.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.6643,2157.3525,4.6991,42.9297,5.6070,42.7908,244.4336,2.2627,5.5147,0.4145,0.0488,1a9m
8.4000,4651.0000,1295.0000,1361.0000,3.0000,799.0000,226.0000,243.0000,1.0000,1118.0000,302.0000,329.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.0679,1982.9342,9.0832,47.2741,8.8956,24.8720,207.9180,0.5013,5.0855,0.0000,0.0526,1aaq
6.7400,2517.0000,670.0000,665.0000,47.0000,925.0000,255.0000,270.0000,19.0000,908.0000,217.0000,215.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0647,1285.8998,4.1037,4.4021,4.0920,5.5888,43.2188,0.0196,0.0000,0.0000,0.2000,1add
