PDB,pbindaff,predicted
2iw4,9.30,4.79
2wbg,4.45,6.27
2wc3,6.08,6.39
2wc4,5.29,6.08
2yay,6.10,8.25
2yaz,5.14,7.67
2yb0,3.85,6.47
2xg9,4.15,4.83
2xib,7.26,5.12
2xii,7.20,7.55
2xye,8.34,7.54
2xyf,8.44,7.32
2y8c,6.40,6.04
2yfe,6.63,5.75
2yi0,8.12,6.36
2yi7,8.32,6.05
2yim,3.92,6.27
2yiv,2.78,3.07
2ymd,3.16,5.46
2yme,7.66,6.50
3alt,2.92,4.33
3dhv,2.96,5.62
3ebo,4.72,7.36
3ebp,5.91,7.24
3ekp,8.89,6.54
3ekt,10.59,6.91
3ekv,9.41,6.90
3ekw,7.96,8.21
3ekx,9.41,8.14
3el1,9.64,7.27
3el4,7.17,8.66
3el5,7.72,7.89
3el9,8.40,7.72
3ng4,5.43,3.82
3nw3,6.49,6.28
3nyd,3.48,4.88
3o4k,7.62,6.11
3o75,6.68,5.73
3oil,5.68,5.80
3oim,6.74,6.26
3oku,6.36,6.47
3okv,6.23,6.52
3ozg,9.19,6.57
3p17,4.48,6.67
3p3r,7.25,5.61
3p3s,7.59,5.17
3p3t,7.24,5.21
3p8n,9.28,7.08
3p8o,8.72,6.81
3pb7,5.74,4.49
3pb8,5.24,3.67
3pb9,6.58,4.72
3pbb,7.02,4.47
3pfp,6.44,5.84
3po1,4.02,5.80
3pwk,3.35,4.29
3q1x,5.33,3.03
3q5u,4.31,4.97
3q6w,7.57,8.40
3qbc,4.97,4.05
3qdd,8.77,6.25
3qfd,4.17,5.91
3qlm,6.37,3.99
3qqs,5.82,6.31
3vd4,4.82,5.00
3vd9,4.00,4.97
3vdb,2.52,4.37
4djy,8.27,6.91
4dko,6.52,6.40
4dkp,5.72,6.75
4dkq,6.60,7.53
4dkr,6.52,6.64
4dmw,4.94,5.83
4do4,7.29,5.38
4do5,5.83,4.72
3qt6,5.37,6.25
3qto,4.13,6.96
3qtv,4.65,6.83
3qw5,6.45,6.01
3qwc,4.26,6.68
3qx5,4.20,7.28
3r0y,4.84,5.74
3r6c,4.72,6.82
3r7o,8.36,8.54
3r88,4.82,4.20
3rbu,9.43,5.04
3re4,7.40,5.47
3rr4,4.55,6.29
3rt4,8.80,5.43
3rv8,4.92,5.36
3s43,8.60,7.15
3s45,8.49,6.63
3s54,9.64,7.03
3s56,9.62,8.95
3s5y,7.41,4.74
3s6t,7.35,6.56
3s8x,7.30,5.70
3s9t,6.82,5.98
3sap,7.59,5.28
3sax,6.57,6.32
3sbh,7.28,5.55
3sbi,7.92,5.58
3sfg,6.06,4.49
3sha,5.59,6.73
3shc,5.72,6.33
3si3,4.16,6.51
3si4,3.88,6.71
3spf,3.86,5.55
3su0,6.79,8.74
3su1,6.68,8.56
3su2,4.35,8.91
3su3,9.13,9.03
3su4,6.26,8.92
3su5,5.58,8.81
3su6,6.02,9.26
3sue,9.08,8.34
3suf,7.56,8.78
3sug,6.21,7.76
3sur,4.15,4.37
3sus,4.15,5.41
3sut,7.85,4.81
3suu,8.52,6.14
3suv,4.55,5.41
3suw,4.70,6.10
3sv2,4.19,6.69
3sxf,8.60,7.67
3sym,4.57,7.57
3syr,5.10,7.24
3t08,3.04,5.00
3t09,3.80,4.39
3t0b,4.30,5.00
3t0d,2.37,4.50
3t0x,8.00,10.08
3t2q,3.66,4.52
3t3c,10.23,6.66
3t3u,8.60,7.88
3t6b,6.36,7.98
3tb6,5.08,4.36
3tei,6.30,6.47
3tg5,4.70,6.73
3tif,5.38,7.33
3tkw,5.27,7.01
3ttm,8.52,3.62
3ttn,7.84,4.65
3twp,3.92,3.92
3u10,5.44,8.17
3u15,7.11,7.72
3u6h,9.00,8.95
3u7k,7.07,6.18
3u7l,7.28,6.53
3u7m,7.45,5.69
3u7n,7.95,5.30
3u7s,8.43,7.07
3u81,4.44,6.89
3u90,4.62,3.63
3u9q,4.38,4.18
3ubd,5.54,6.85
3ucj,6.00,3.80
3udd,7.10,7.87
3udh,2.85,5.58
3ueu,5.24,4.58
3uev,5.89,4.78
3uew,6.31,4.81
3uex,6.92,5.20
3ug2,8.25,5.54
3uj9,4.63,4.38
3ujb,5.10,7.19
3ujc,4.59,4.18
3ujd,4.69,4.38
3uo4,6.52,7.84
3uod,7.31,7.28
3up2,7.40,7.14
3upv,5.30,5.06
3uri,9.00,6.27
3utu,10.92,7.52
3uu1,5.20,4.46
3uug,4.51,6.12
3uuo,7.96,6.12
3uvx,4.34,4.40
3uw4,7.77,5.81
3uw5,7.85,6.05
3uxd,4.41,5.36
3uxk,4.93,5.38
3uxl,5.57,4.81
3uz5,7.22,4.61
3uzj,5.55,4.62
