pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
2.0000,874.0000,296.0000,289.0000,24.0000,0.0000,0.0000,0.0000,0.0000,2256.0000,750.0000,759.0000,53.0000,0.0000,0.0000,0.0000,0.0000,456.0000,158.0000,146.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.2536,1123.9603,2.6955,0.0000,7.1695,14.6866,76.5429,0.0863,0.0000,0.0000,0.1111,3c2f
2.0000,851.0000,244.0000,210.0000,13.0000,213.0000,56.0000,53.0000,4.0000,141.0000,41.0000,34.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5770,367.1806,1.0974,10.1662,2.5198,4.2138,19.3924,0.0000,0.0000,0.0000,0.1176,2r58
2.0000,1122.0000,353.0000,432.0000,11.0000,925.0000,300.0000,356.0000,12.0000,173.0000,57.0000,69.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.8545,803.3505,2.2391,3.0665,4.8579,4.2739,18.2014,0.3602,1.0000,0.8573,0.2500,3g2y
2.0500,2516.0000,716.0000,670.0000,8.0000,0.0000,0.0000,0.0000,0.0000,1627.0000,468.0000,436.0000,6.0000,312.0000,91.0000,84.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.0035,1395.5961,2.6157,0.0000,5.2483,10.0701,85.2809,0.2420,0.0000,0.5789,0.0909,1jfh
2.0600,888.0000,228.0000,298.0000,5.0000,188.0000,56.0000,67.0000,1.0000,416.0000,110.0000,138.0000,2.0000,156.0000,40.0000,53.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.8614,640.5737,1.0318,4.6311,2.0183,0.5217,7.0367,0.0000,0.0000,0.0000,0.1667,1qq9
2.0700,2167.0000,571.0000,566.0000,0.0000,475.0000,131.0000,140.0000,0.0000,432.0000,110.0000,109.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.0307,1015.6293,2.7063,23.0193,1.4773,0.5694,26.5750,0.0000,0.3556,0.0000,0.3333,3ao4
2.1200,2335.0000,661.0000,735.0000,22.0000,435.0000,122.0000,136.0000,3.0000,1743.0000,472.0000,518.0000,17.0000,0.0000,0.0000,0.0000,0.0000,232.0000,57.0000,64.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.0414,1470.5973,6.3958,3.6241,9.0981,12.7297,89.4516,0.5101,0.0000,0.8145,0.1053,2w8w
2.1700,2236.0000,683.0000,675.0000,8.0000,192.0000,53.0000,53.0000,0.0000,673.0000,210.0000,200.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.0303,1022.6793,1.8388,43.7392,3.3812,4.8981,39.5556,0.1406,4.4350,0.0000,0.2222,3gqz
2.2100,1429.0000,335.0000,323.0000,24.0000,0.0000,0.0000,0.0000,0.0000,1206.0000,273.0000,267.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3760,676.0764,0.9209,4.8038,1.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1x8d
2.2200,905.0000,202.0000,180.0000,6.0000,0.0000,0.0000,0.0000,0.0000,796.0000,190.0000,161.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.1796,535.1756,2.5036,0.6599,4.2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,2aac
