pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
9.3000,0.0000,0.0000,0.0000,0.0000,219.0000,71.0000,82.0000,1.0000,1271.0000,405.0000,451.0000,7.0000,0.0000,0.0000,0.0000,0.0000,423.0000,141.0000,156.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,0.3333,2iw4
4.4500,3328.0000,853.0000,842.0000,17.0000,443.0000,115.0000,121.0000,2.0000,1176.0000,313.0000,302.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.3939,1387.8406,5.2984,28.7368,7.8005,8.3421,44.8577,0.0339,5.9596,0.0000,0.1000,2wbg
6.0800,3317.0000,860.0000,842.0000,18.0000,443.0000,117.0000,122.0000,2.0000,1158.0000,314.0000,299.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124.3990,1388.2031,4.9690,27.6722,8.3471,9.5345,45.9411,0.0616,6.0000,0.0000,0.1000,2wc3
5.2900,3295.0000,859.0000,843.0000,20.0000,423.0000,111.0000,107.0000,2.0000,834.0000,198.0000,203.0000,5.0000,223.0000,53.0000,54.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,103.7768,1390.5546,1.9054,45.9671,3.0237,4.5451,35.3447,0.0000,5.3263,0.0000,0.1000,2wc4
6.1000,2193.0000,583.0000,569.0000,19.0000,698.0000,188.0000,178.0000,6.0000,2686.0000,692.0000,734.0000,17.0000,0.0000,0.0000,0.0000,0.0000,555.0000,157.0000,163.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.5419,1797.1377,8.3105,18.7681,15.6005,10.4771,103.2938,1.6605,0.6012,1.7529,0.1000,2yay
5.1400,2163.0000,582.0000,546.0000,18.0000,498.0000,130.0000,123.0000,5.0000,1809.0000,470.0000,463.0000,11.0000,0.0000,0.0000,0.0000,0.0000,204.0000,58.0000,58.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,0.1818,2yaz
3.8500,2183.0000,585.0000,550.0000,19.0000,501.0000,132.0000,125.0000,5.0000,1215.0000,312.0000,301.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.7050,1149.9286,2.6519,17.5084,5.2814,2.7782,29.2492,0.2279,0.8356,0.0000,0.2500,2yb0
4.1500,1915.0000,575.0000,576.0000,20.0000,159.0000,43.0000,45.0000,1.0000,1453.0000,428.0000,446.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.9299,1118.6229,2.3935,0.0000,5.9881,15.5546,69.2031,0.6217,0.0000,2.0587,0.1176,2xg9
7.2600,1231.0000,389.0000,336.0000,12.0000,211.0000,67.0000,55.0000,2.0000,630.0000,188.0000,161.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,2xib
7.2000,3261.0000,1034.0000,867.0000,32.0000,374.0000,116.0000,96.0000,4.0000,922.0000,279.0000,233.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.4339,1377.9814,4.8509,23.4782,8.6220,5.0906,81.6185,0.4228,0.0000,0.7542,0.1818,2xii
