pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
9.0000,149.3580,2256.7136,5.2840,51.9200,8.8231,0.0426,1gvu
10.0000,146.5634,2051.6858,4.9309,65.4640,5.5933,0.0909,1bxo
6.9600,130.5157,2004.5599,5.0472,53.9408,5.1058,0.0500,1gvw
7.2200,144.3195,2620.4773,4.0660,67.6450,8.5408,0.0328,1gvx
10.3900,144.5302,2254.4634,4.3119,80.4793,4.2383,0.0909,1kzk
7.2500,122.5353,1539.4592,6.2806,21.3538,9.9536,0.0645,1jet
6.8200,122.6497,1751.7413,5.4947,25.0270,11.1220,0.0541,1jeu
8.7700,65.3682,574.1219,3.6412,9.5488,3.6246,0.2857,1qft
6.8900,166.3166,2176.7815,9.7294,47.1816,12.2948,0.0571,1jev
8.5200,117.8606,1931.1648,2.4958,140.9501,1.8734,0.2500,1fcy
9.3700,140.0227,1651.1290,6.3312,33.0700,9.7209,0.1053,1flm
4.0700,64.9100,804.2957,4.0544,6.2297,6.4253,0.2000,1hyo
4.9200,86.1977,1204.5806,5.0545,5.4500,6.9158,0.0909,1jr0
5.3200,153.0187,1761.9810,7.0992,0.0000,14.7053,0.0952,5p21
2.4800,58.9279,443.0484,1.4079,39.4297,1.2277,0.5000,1gyx
3.6400,75.9127,646.6870,3.4229,45.4498,1.6956,0.2857,1gyy
6.0000,69.4854,730.5157,3.0129,6.9239,4.6987,0.4000,1c5s
7.6300,81.1841,1126.7981,3.0007,4.4550,5.7955,0.2222,1c1r
4.1000,57.8706,747.9852,2.3343,4.7590,4.3987,0.4000,1c5t
7.1900,80.4921,969.2347,1.9389,7.1531,4.6593,0.2500,1gi4
3.8000,125.3481,1501.6978,5.1649,38.6443,5.9351,0.1000,1kug
9.2200,117.4536,1809.0107,2.4188,136.5433,1.9992,0.2000,1fcz
8.4000,125.5207,1978.2786,2.6200,136.9566,2.1820,0.2222,1fd0
5.4400,80.2657,981.3586,5.8858,9.1477,6.3895,0.2500,1gi2
4.8000,70.8497,936.4701,2.0682,6.1975,4.8867,0.2500,1ghz
3.8900,51.7315,844.1061,3.9534,28.4499,5.3765,0.2222,2ctc
6.5500,47.8738,1107.3771,1.7030,55.9173,2.7145,0.0588,1hmr
6.3700,45.0829,1121.6316,1.6238,58.2551,2.7579,0.0625,1hms
5.7900,48.9892,1146.6027,1.4933,59.6689,2.6348,0.0588,1hmt
5.5400,146.2087,1856.7461,7.0617,33.4362,12.6641,0.0500,2olb
3.4000,76.0968,1062.3922,5.2274,8.7890,6.8703,0.1250,1f8d
4.8200,73.5265,1054.5255,6.2850,8.5723,8.5321,0.1250,1f8e
7.3800,142.0416,2033.9773,5.4142,65.5144,5.7689,0.0500,1bxq
4.6800,58.4801,628.7899,2.2789,3.6357,3.9924,0.4000,1c5p
6.3600,66.6662,766.5778,1.8681,4.1817,3.5100,0.4000,1c5q
5.6300,66.2544,1341.8774,1.7915,25.1802,1.8794,0.0408,1vwl
3.9100,129.6752,1524.3777,5.8115,41.4912,5.6965,0.0800,1kuk
7.1900,117.3308,1934.3546,2.1417,136.4690,1.8054,0.2222,1fcx
6.0000,71.6390,981.0082,2.7629,23.2924,4.6706,0.1538,2izl
4.0000,62.2350,882.7221,4.4221,0.0000,8.9135,0.2222,8abp
5.7700,84.9704,980.9331,5.4069,12.5457,6.9169,0.2500,1gi6
6.7000,69.5497,1085.5612,5.7616,18.6818,4.6839,0.1429,2sns
10.6400,105.8936,1322.2078,5.1277,2.0746,8.7076,0.2222,1b8o
4.7000,52.1992,771.6173,2.3638,2.6230,2.5180,0.4000,1c5n
5.3000,131.5731,2181.9045,3.0241,84.0051,2.3917,0.0400,1hn4
6.4900,116.2666,1340.4481,6.1189,19.2492,6.6146,0.2000,1gj6
8.0500,106.9410,1384.8481,7.2522,16.8061,6.1623,0.2000,1gj7
5.2000,55.6798,616.4388,2.0313,3.9613,1.8051,0.1538,1kll
3.7700,125.1385,1517.3722,4.4921,37.8780,4.8214,0.0909,1kui
3.7000,78.1067,1158.3998,6.2919,5.3754,9.5914,0.1667,1loq
9.7000,80.8589,1024.5548,3.2048,28.5763,4.6617,0.1667,1df8
2.0600,56.3336,616.9017,4.3959,1.3869,5.8460,0.1818,1qq9
5.4200,91.6992,1079.9938,3.7801,7.5333,6.3140,0.2000,1gja
3.4600,54.8421,1022.7672,5.3163,0.0000,9.1303,0.1667,1moq
9.0900,181.5764,1583.9111,12.6691,23.3023,15.7739,0.1053,1akr
3.2800,59.2411,795.7780,2.5508,0.0000,4.8442,0.1111,1gzc
7.0500,93.6223,1022.1373,4.9709,18.7144,8.4859,0.1053,1nox
5.8900,52.9108,768.0136,4.6334,15.7280,5.0838,0.1667,2tmn
8.0400,97.7261,1458.5739,3.8565,36.7426,4.9898,0.0667,5tmn
5.0500,95.8366,1462.9663,4.0122,37.3967,4.1865,0.0667,6tmn
5.3600,47.2798,1216.8911,1.0702,49.8354,2.1230,0.0667,1adl
9.4300,59.2515,998.7400,2.9433,14.2580,2.8590,0.2222,1cil
3.4200,72.2647,1046.5347,3.3851,8.9705,6.8473,0.1250,2sim
6.8800,78.4838,737.9112,5.8220,0.0000,10.1016,0.3333,2dri
2.2200,64.2255,797.1244,3.2436,12.9560,5.4883,0.3333,2aac
5.2200,104.7971,1679.6033,4.9914,0.0000,7.6584,0.0690,16pk
