pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.0000,45.8639,906.5493,4.5499,0.0000,7.2112,0.1111,3c2f
2.0000,48.0211,434.9001,1.0023,17.1603,1.0415,0.1176,2r58
2.0000,49.4545,708.9079,4.5607,10.1219,6.0178,0.2500,3g2y
2.0500,53.4586,1053.9083,1.6311,0.0000,2.9499,0.0909,1jfh
2.0600,56.3336,616.9015,4.3959,1.3869,5.8460,0.1667,1qq9
2.0700,89.1200,1011.2183,4.0398,20.1253,1.0738,0.3333,3ao4
2.1200,113.7689,1481.0815,8.9302,4.1173,7.6238,0.1053,2w8w
2.1700,54.8079,748.6750,3.3857,37.2826,0.9613,0.2222,3gqz
2.2100,37.3397,696.2489,3.0486,8.8457,4.4250,0.3333,1x8d
2.2200,64.2255,797.1244,3.2436,12.9560,5.4883,0.2857,2aac
2.2200,119.4536,1670.2504,10.4229,26.0082,9.3655,0.1250,1m0n
2.2200,75.3002,1259.5542,2.8927,0.0000,1.6591,0.0370,1icj
2.2300,46.2266,612.3215,2.9809,16.3921,4.5173,0.2000,2igv
2.2300,85.2562,1056.1028,2.9694,16.0528,1.2431,0.4000,3ao5
2.2300,53.6159,770.4449,2.0653,21.2198,1.4426,0.2500,1ajp
2.2300,77.2851,885.9867,7.2560,0.0000,7.5879,0.2500,3i3b
2.2600,55.9069,739.2726,1.8791,9.8982,0.3105,0.6667,3ao1
2.2600,53.7313,482.9258,11.3842,0.0000,3.7717,0.3333,1ew8
2.2800,68.4162,764.8411,6.0142,19.2935,6.4380,0.3333,3ip8
2.3000,53.1292,908.2697,3.2866,10.2322,5.2263,0.1429,3dyo
2.3000,56.0236,791.1844,8.9142,32.4915,3.6043,0.2857,3pcg
2.3100,112.7696,1581.8260,8.2204,22.9745,8.5803,0.1000,1m0o
2.3500,51.9417,608.8994,2.8458,19.6640,1.0000,0.2857,3gtc
2.3600,38.3091,582.1674,2.8476,12.3457,3.4712,0.3333,3g2z
2.3700,71.1773,885.3485,5.0355,0.0000,4.6570,0.1538,6rnt
2.3800,187.5235,2302.6521,10.2689,49.3285,12.7208,0.0714,3f6e
2.3900,72.3998,1136.3855,6.6783,0.5798,11.2562,0.0741,1f73
2.4000,88.3894,1165.7094,2.8106,6.5260,4.9647,0.2000,3l7b
2.4400,31.5293,281.6779,0.6182,0.0000,0.1762,0.2000,1oba
2.4400,94.5106,1241.6125,4.2697,4.9974,6.3628,0.2222,3l7c
2.4400,68.3868,900.4979,3.7401,0.0000,5.5380,0.2857,2i2b
2.4600,88.1164,1177.1284,3.8209,6.4062,6.2007,0.2222,3l79
2.4700,46.3200,590.2482,1.2988,8.4041,1.3726,0.2222,1utl
2.4700,42.8631,495.1980,3.0328,6.4754,5.8633,0.3333,1tok
