pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
0.49,-0.8183,-1.0220,0.0000,0.0000,35.9239,499.2256,1.6108,21.0663,1.0000,0.5000,1w8l
0.82,-0.9560,-1.1513,-0.0070,0.2100,51.1692,632.2584,5.3088,7.1610,3.2279,0.1667,1wkm
1.01,-1.0252,-1.0231,-0.0021,0.1680,45.4109,565.8831,2.7808,1.0000,4.6949,0.2222,2a31
1.28,-0.2204,-0.8506,0.0000,0.0840,26.2692,428.5943,0.1514,0.0000,0.3894,0.2000,1f9g
1.30,-0.1539,0.7928,-0.0002,0.1680,26.2395,566.8311,7.0084,0.9834,0.0000,0.1818,1b74
1.36,-0.2830,-0.5231,0.0000,0.0000,27.3913,345.0158,2.2542,1.0000,1.6123,0.4000,1qpb
1.49,-1.2191,-1.3815,-0.0019,0.1260,50.8561,657.0640,2.5786,5.1364,2.0000,0.2222,1tnk
1.60,-0.6639,-1.1885,0.0000,0.1680,47.7414,547.9244,1.2978,10.7937,1.6599,0.2222,1w8m
1.66,-0.5034,-0.4315,0.0000,0.0000,26.7978,362.1683,4.0042,0.0000,7.6336,0.2857,1rdj
1.72,-0.3845,-0.6504,-0.0006,0.0420,26.3315,458.5208,1.0222,9.0360,0.4829,0.3333,2hdr
1.80,-0.9803,-1.4126,0.0000,0.2520,40.3058,855.2267,2.0207,2.4119,1.6780,0.1176,1ga8
1.82,-1.1946,-1.5405,0.0000,0.2940,75.6229,1049.4810,5.9921,0.0000,9.9913,0.1000,1af6
1.82,-0.9759,-0.9696,-0.0084,0.1260,67.1972,588.8718,6.3426,0.0000,7.8162,0.2000,1d5r
1.84,-0.6997,-0.6879,0.0000,0.0840,31.4693,507.7477,3.7605,1.1376,7.2594,0.1818,1rdn
1.88,-1.0159,-1.4861,-0.0048,0.0420,55.6368,665.6876,3.1911,5.5864,1.9757,0.4000,1tnl
1.90,-1.0678,-1.1772,-0.0068,0.1260,54.7090,732.5897,3.8153,27.6843,5.7501,0.2222,1f2p
1.91,-0.8766,-0.7549,-0.0074,0.1260,48.5369,583.1623,4.0427,9.5667,5.7895,0.1818,1f2o
1.96,-1.0156,-1.3136,-0.0054,0.0840,53.5728,598.8158,2.6609,3.2738,2.0206,0.2857,1tnj
2.05,-1.1604,-1.7416,0.0000,0.4200,53.4586,1053.9083,1.6311,0.0000,2.9499,0.0909,1jfh
2.06,-0.7454,-1.1392,-0.0069,0.2100,56.3336,616.9015,4.3959,1.3869,5.8460,0.1667,1qq9
2.06,-0.6779,-0.5302,0.0000,0.0840,29.0679,381.6414,4.1363,0.0000,8.2474,0.2222,1rdi
2.10,-0.2962,-1.0706,-0.0031,0.4200,38.1087,959.3782,4.9788,6.3202,4.2079,0.0769,1njj
2.15,-0.5371,-1.0757,-0.0043,0.4200,46.2543,767.4036,2.5299,14.0891,3.1184,0.0741,1uxb
2.21,-1.0241,-1.1596,0.0000,0.0000,37.3397,696.2489,3.0486,8.8457,4.4250,0.3333,1x8d
2.22,-1.7671,-2.3442,0.0000,1.7220,75.3002,1259.5542,2.8927,0.0000,1.6591,0.0370,1icj
2.22,-1.0292,-1.4044,0.0000,0.0000,64.2255,797.1244,3.2436,12.9560,5.4883,0.2857,2aac
2.24,-0.4779,-0.5053,0.0000,0.0420,26.6785,395.9317,3.8102,0.0000,7.7130,0.2222,1rdl
2.26,-0.4211,-0.2135,-0.0179,0.0840,53.7309,477.8780,11.3842,0.0000,3.7717,0.3333,1ew8
2.27,-0.7285,-1.1124,-0.0007,0.0840,41.0500,572.6500,0.7622,6.2835,1.3651,0.2857,1uto
2.28,-1.3183,-1.7405,0.0000,0.0420,91.1199,979.8383,7.1719,0.0000,10.0943,0.2500,1ps3
2.30,-0.4939,-1.0646,-0.0035,0.4200,44.9970,746.6675,2.3736,13.7045,3.0875,0.0741,1uxa
2.30,-1.3773,-0.7643,-0.0006,0.0840,56.0236,791.1844,8.9142,32.4915,3.6043,0.2857,3pcg
2.31,-2.1140,-2.6802,-0.0205,0.3780,112.7696,1581.8260,8.2204,22.9745,8.5803,0.1000,1m0o
2.35,-0.8627,-1.2373,0.0000,0.2520,65.0744,776.7975,5.8332,0.0000,8.8769,0.1111,1qi0
2.39,-0.4911,-0.7801,-0.0020,0.5460,72.8151,1163.0858,7.4259,17.2080,2.0665,0.0800,1nwl
2.40,-1.1145,-0.6313,-0.0008,0.0000,50.2890,717.9618,4.7184,29.7197,2.1697,0.4000,3pcb
2.44,-0.6112,-0.6788,0.0000,0.0840,31.5293,281.6779,0.6182,0.0000,0.1762,0.2000,1oba
2.47,-0.7407,-1.1452,-0.0034,0.1260,46.3200,590.2482,1.2988,8.4041,1.3726,0.2222,1utl
2.48,-0.7945,-1.0276,-0.0083,0.0000,60.3248,446.8197,1.3062,39.4297,1.2277,0.5000,1gyx
2.50,-1.5550,-1.2899,-0.0006,0.0840,51.2891,767.1401,2.1198,28.0624,1.3252,0.2500,1ai4
2.57,-1.0276,-1.6921,0.0000,0.2520,66.1745,954.7536,1.7160,0.0000,3.9134,0.1111,1gwv
2.60,-1.1175,-0.8477,0.0000,0.2100,74.8572,940.5540,10.3816,4.1297,10.4324,0.1538,2c4v
2.63,-1.5452,-1.4025,-0.0006,0.0840,49.5433,842.2430,2.0193,32.5899,1.0000,0.2500,1ajn
2.68,-1.1376,-1.4601,-0.0076,0.2100,59.3048,807.9192,6.0985,0.0000,11.3189,0.1818,1o8b
2.72,-1.0017,-1.1554,-0.0038,0.2100,46.3809,546.2112,2.3860,5.5507,2.0000,0.1667,1pfu
2.75,-1.2712,-1.0026,-0.0096,0.0420,44.1735,464.1837,2.3235,5.4823,3.7713,0.5000,1rql
2.80,-0.7070,-1.1930,-0.0032,0.0420,47.3710,537.9728,1.5836,5.1201,2.4209,0.4000,2bza
2.89,-1.3664,-1.3423,-0.0026,0.3360,54.5711,748.8428,1.0196,41.1716,0.3904,0.0952,1cet
2.89,-0.8618,-1.1521,-0.0032,0.2520,58.1169,727.0515,3.1891,0.0000,5.6486,0.1818,1iih
2.89,-0.7246,-0.5402,-0.0029,0.0840,20.7152,377.0501,1.1675,21.4891,2.8216,0.2857,1ugp
2.92,0.1718,-1.3069,0.0000,0.3780,44.5748,776.5974,3.6708,0.0000,8.1147,0.1333,2fkf
2.92,-1.1080,-1.5693,0.0000,0.2100,76.1862,897.1276,6.2081,1.8753,8.6484,0.1538,2fw6
2.92,-1.1888,-1.5421,0.0000,0.2100,76.0288,899.3575,6.6766,2.0677,9.0814,0.1538,2fwp
2.93,-0.7232,-1.1025,-0.0021,0.0420,38.2373,536.0855,1.8715,3.7085,2.9716,0.4000,1tng
2.96,-1.0937,-0.5634,0.0000,0.0420,50.4041,787.8096,8.7885,18.5684,3.9368,0.3333,1ykp
2.96,-0.7449,-0.5678,-0.0044,0.0000,32.6494,444.4868,4.2878,0.8664,2.7287,0.6667,2br6
