pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
6.40,-1.4955,-2.4811,-0.0050,0.6300,111.8976,1374.5138,5.2593,35.4061,7.0350,0.0690,10gs
5.62,-1.9421,-2.3221,-0.0257,0.7980,85.7255,1250.6732,3.4858,32.6792,5.4494,0.0465,1a08
6.40,-2.0243,-2.1121,-0.0250,0.8820,85.0644,1159.9365,5.5878,30.1372,7.6279,0.0465,1a1b
4.30,-1.5787,-1.8795,-0.0029,0.5040,85.6817,1306.8168,4.7111,20.4932,3.5947,0.0690,1a30
5.30,-1.3284,-2.2713,-0.0042,0.0840,96.6926,1201.3448,4.2388,0.0000,4.6918,0.2222,1a69
3.72,-1.5457,-1.4570,-0.0008,0.0840,57.4769,833.5275,2.2321,34.2044,1.4665,0.2500,1ai5
2.23,-1.5658,-1.2968,-0.0006,0.0840,53.6159,770.4449,2.0653,21.2198,1.4426,0.2500,1ajp
4.31,-1.2285,-1.3160,-0.0002,0.0840,59.6251,621.9600,2.4477,19.7976,2.5140,0.3333,1ajq
8.00,-1.6999,-3.0141,0.0000,0.5880,111.5541,1600.2546,4.6777,40.6302,8.1655,0.0500,1apw
3.90,-0.0424,-0.2319,0.0000,0.0840,13.3911,303.6917,1.3650,0.0000,1.0000,0.2857,1avn
6.92,-1.8908,-2.2629,-0.0105,0.5880,103.9840,1812.2059,9.2062,0.0000,9.5769,0.0952,1b39
8.02,-2.3091,-2.9565,-0.0208,0.6720,131.9391,1760.4229,7.4103,34.4988,10.5699,0.0526,1b7h
10.64,-1.2516,-2.2440,-0.0000,0.0840,93.2780,1279.7040,3.3658,2.0746,5.8467,0.2222,1b8o
5.96,-1.4415,-2.8807,-0.0164,0.6300,126.4287,1739.9197,6.9013,30.9430,11.3821,0.0541,1b9j
3.28,-0.6499,-1.7146,-0.0070,0.0000,61.6900,865.7314,0.6354,11.1526,0.7476,0.6667,1bcu
4.59,-2.5102,-3.3309,0.0000,0.5040,117.5641,1613.5723,5.3877,48.5889,2.7752,0.0645,1bma
1.82,-0.9182,-1.3164,-0.0029,0.0000,54.9023,610.7928,2.2715,6.6087,3.1695,0.4000,1bra
10.00,-2.2680,-3.7200,0.0000,0.4620,146.5634,2051.6858,4.9309,65.4640,5.5933,0.0690,1bxo
7.57,-1.3261,-1.5787,-0.0437,0.2520,94.8086,1150.9894,9.7849,2.8746,16.2414,0.1429,1d09
3.30,-0.6333,-0.7070,0.0000,0.0840,28.4234,323.8843,0.7733,20.3397,0.7926,0.2500,1d7j
4.30,-0.7193,-1.4339,-0.0085,0.2520,71.2748,856.8722,3.9061,0.0000,6.5151,0.1538,1det
9.70,-2.0872,-2.2866,-0.0004,0.2100,86.8543,1158.0555,3.2050,33.5465,4.6617,0.1667,1df8
7.26,-2.2218,-1.9178,-0.0212,0.3780,84.8786,1408.0975,2.7449,31.6161,4.5178,0.0870,1dhi
4.92,-1.6796,-1.1359,-0.0007,0.2100,70.0055,1170.2344,4.3180,12.2018,2.7573,0.2222,1e1v
7.64,-1.2747,-0.8259,0.0000,0.0000,29.3291,546.9122,1.0704,23.6350,1.2927,0.6667,1e5a
9.89,-1.9668,-2.6708,-0.0028,0.0420,126.4666,1345.5151,2.1968,89.2305,0.0000,0.3333,1e66
6.36,-2.0377,-2.7673,-0.0004,0.4200,93.8676,1409.5258,3.7539,43.9953,3.6898,0.0800,1ela
7.15,-1.6616,-2.5129,-0.0004,0.5460,102.4820,1376.7936,6.3917,39.8448,2.8937,0.0606,1elb
2.96,-0.9308,-1.3325,-0.0000,0.1260,41.3640,854.4972,1.0496,47.7815,1.3226,0.2222,1f4e
4.62,-0.6415,-2.0935,-0.0015,0.3780,73.8860,1426.2892,1.8273,48.8653,0.7257,0.1000,1f4f
6.48,-0.6247,-2.4958,-0.0011,0.5040,97.6075,1755.1864,3.2856,56.1800,3.5606,0.0769,1f4g
3.74,-0.6374,-1.2398,-0.0058,0.0000,50.6531,618.7176,2.1068,2.4314,3.7287,0.4000,1f5k
7.19,-3.5583,-3.2934,-0.0058,0.0840,117.3308,1934.3541,2.1417,136.4690,1.8054,0.1538,1fcx
9.22,-3.4227,-3.0958,-0.0070,0.0840,117.4536,1809.0088,2.4188,136.5433,1.9992,0.1429,1fcz
8.40,-3.5782,-3.3654,-0.0071,0.0840,125.5207,1978.2800,2.6200,136.9566,2.1820,0.1538,1fd0
5.24,-1.3887,-1.7600,-0.0004,0.1680,89.7490,1003.7949,6.5675,0.0000,8.5680,0.1818,1fh7
6.89,-1.3511,-1.7414,-0.0070,0.1680,80.4189,918.5646,5.2001,6.3778,8.6112,0.2000,1fh8
6.43,-1.4200,-1.7960,-0.0005,0.1680,105.0344,1134.8861,9.5881,0.0000,11.8430,0.1667,1fh9
9.70,-2.1967,-3.0124,0.0000,0.3780,108.7249,1758.7052,3.0140,63.5447,4.2878,0.0741,1fkb
7.00,-1.7059,-2.2372,0.0000,0.0000,85.5698,1230.9664,1.5532,59.1728,1.7966,0.5000,1fki
8.80,-2.3354,-4.1271,-0.0029,1.2180,155.1722,2566.5522,9.9159,47.7833,13.1422,0.0294,1fkn
10.00,-1.2814,-2.8594,-0.0007,0.0420,125.1950,1403.1854,2.8991,77.4154,3.6708,0.2857,1flr
7.61,-1.5566,-1.5552,-0.0182,0.1260,86.6392,940.5820,4.6028,16.5453,7.5125,0.2000,1ftm
