pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.0000,48.0211,434.9000,1.0023,17.1603,1.0415,0.1333,2r58
2.0700,89.1200,1011.2182,4.0398,20.1253,1.0738,0.4000,3ao4
2.1800,112.6639,1645.4806,3.3514,11.5229,3.5782,0.1667,3l7d
2.2200,64.2255,797.1244,3.2436,12.9560,5.4883,0.3333,2aac
2.2600,53.7313,482.9260,11.3842,0.0000,3.7717,0.3333,1ew8
2.3000,53.1292,908.2697,3.2866,10.2322,5.2263,0.1667,3dyo
2.3000,81.6263,776.4474,5.2227,0.0000,6.6224,0.1538,4g0y
2.3700,78.8576,885.3733,7.3938,0.0000,7.8450,0.2500,3t0d
2.4000,38.4538,874.5959,1.5193,2.1972,2.1228,0.1667,3dxg
2.4600,88.1172,1237.8636,3.8209,6.4062,6.2007,0.2222,3l79
2.5100,70.6193,846.6058,5.2349,12.9717,4.3992,0.2500,3g30
2.5200,74.7864,723.9113,5.4617,5.7075,6.7954,0.1538,4g0q
2.5900,85.3446,1000.4905,3.5852,23.6237,4.4927,0.2857,3gvb
2.6600,124.0071,1708.3837,7.8662,0.0000,7.8564,0.1000,3a1e
2.7000,20.0538,477.6499,1.2226,17.1184,2.0000,0.2500,3bra
2.7500,44.1735,464.1836,2.3235,5.4823,3.7713,0.5000,1rql
2.8100,54.5131,963.6530,2.7301,2.8261,3.2159,0.1538,3djx
2.8400,86.1696,1224.1481,2.8481,36.2973,3.7203,0.3333,3zt2
2.8900,58.1169,727.0511,3.1891,0.0000,5.6486,0.1818,1iih
2.9200,76.1862,897.1276,6.2081,1.8753,8.6484,0.1538,2fw6
2.9400,45.7588,511.5577,2.2059,0.0000,4.1910,0.2000,2vmc
2.9600,59.2175,783.5180,1.1461,15.2651,0.7549,0.5000,3imc
3.0000,82.7170,1023.5984,14.1028,0.7759,10.0302,0.1333,1ecq
3.0000,46.3693,696.1927,3.1265,18.5653,0.7430,0.5000,3ime
3.0300,58.9201,580.1733,2.6480,0.0000,5.3810,0.2000,1ws5
3.0500,74.6457,1068.8201,6.8886,2.4264,10.4068,0.0833,1f74
3.0800,72.0896,588.0813,4.6262,20.7406,6.5018,0.4000,1y1z
3.1000,47.0227,679.6662,0.7078,44.5098,0.0000,0.2500,3f78
3.1600,78.0583,907.4813,3.8389,28.2853,4.8267,0.2500,2ymd
3.1900,46.2522,957.5676,2.1520,2.1015,3.2644,0.1250,3dxh
3.2200,32.6198,303.2842,5.8153,0.0000,0.5953,0.4000,1ew9
3.2200,81.4169,722.7021,2.4111,5.7962,1.3998,1.0000,2uy3
3.2500,143.4257,1677.9194,5.5217,0.0000,10.0401,0.1176,3ta1
3.2800,100.2966,1171.2046,10.0878,7.0608,8.8078,0.1429,3d52
3.3000,28.4234,323.8843,0.7733,20.3397,0.7926,0.2857,1d7j
3.3000,26.4586,486.1020,2.4172,19.2505,0.0000,0.3333,3hcm
3.3300,70.1679,809.5739,2.6808,21.7045,1.6470,0.3333,2pnc
3.3600,67.1287,1185.5403,2.7781,57.4998,1.3922,0.1000,2vc7
3.3800,88.1447,1330.3649,14.1559,1.8138,5.2564,0.1429,2fzg
3.4000,30.6745,467.0640,0.4304,49.9588,0.0000,1.0000,1l83
3.4000,66.5304,892.4322,7.8932,0.0000,10.0938,0.1176,2vvp
3.4200,72.2647,1046.5347,3.3851,8.9705,6.8473,0.1250,2sim
3.4500,95.0902,1272.2661,6.4298,8.4165,9.6838,0.0645,3nik
3.4800,50.9851,700.2124,2.1115,9.7089,4.5341,0.1111,2p3i
3.4900,45.9975,543.3562,1.9164,4.5127,3.0976,0.4000,1utn
3.5200,84.1548,1163.8102,6.1697,10.5652,10.1717,0.1250,2vw1
3.5500,78.6042,1057.0381,4.1142,5.3089,6.2191,0.0870,1v2r
3.5700,46.2855,754.8516,4.0183,5.1911,6.3778,0.1818,3ff3
