pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
6.4000,109.8313,1323.6873,2.2537,74.5734,4.5683,28.0523,171.1459,0.3418,2.8704,0.0000,0.0690,10gs
5.6200,97.2319,1447.8108,2.6116,28.1268,4.9361,56.8380,275.5323,0.7579,28.5762,1.0328,0.0465,1a08
6.4000,111.3779,1336.5923,3.5281,34.7952,7.6397,45.9403,236.2735,0.6639,14.0737,0.0000,0.0465,1a1b
4.3000,92.1066,1452.5292,1.8328,33.3610,2.6919,20.1391,132.2343,0.9324,0.0361,1.8355,0.0690,1a30
5.3000,89.2937,1287.8438,5.6278,0.0000,5.4048,11.7966,40.0454,0.3219,0.0000,0.5201,0.2222,1a69
3.7200,41.8743,614.9591,1.5237,25.9652,3.2232,3.2099,16.6458,0.0677,0.0000,0.0000,0.2500,1ai5
2.2300,63.9614,761.1081,1.7915,28.8655,1.6826,1.6052,9.4416,0.3330,0.0000,0.0000,0.2500,1ajp
4.3100,60.8248,615.9860,1.8453,26.4918,2.3077,2.5413,3.7007,0.0089,0.0000,0.0000,0.3333,1ajq
8.0000,114.7744,1714.4034,3.5866,52.7104,6.7691,42.9400,216.4636,0.8852,14.6046,1.2686,0.0500,1apw
3.9000,46.3540,483.9052,2.6513,4.0000,3.9094,1.6420,1.8648,0.0000,0.0000,0.0000,0.2857,1avn
6.9200,115.5810,1889.0762,3.7161,0.0000,8.0564,10.9570,135.1413,1.0016,0.0000,0.0000,0.0952,1b39
8.0200,130.4910,1742.4360,5.1809,34.6755,11.9289,13.2067,121.7603,0.3224,0.0000,0.3641,0.0526,1b7h
10.6400,96.0156,1291.5353,2.8190,2.0810,5.5429,9.0408,43.2453,0.5090,0.0000,0.0000,0.2222,1b8o
5.9600,123.4062,1760.3359,4.5709,32.7702,8.7045,16.4496,123.2509,0.1036,0.0000,0.0000,0.0541,1b9j
3.2800,49.0101,776.4678,0.2441,9.7303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1bcu
4.5900,92.6734,1411.5800,1.4394,39.8697,1.6621,38.2138,224.7286,1.6047,15.8435,0.5692,0.0645,1bma
1.8200,51.0482,577.9633,2.1595,6.6209,2.4205,0.9297,2.0643,0.0000,0.0000,0.0000,0.4000,1bra
10.0000,151.6468,2073.8601,3.9955,72.0115,6.0418,25.0078,187.7627,0.4543,6.6961,0.0000,0.0690,1bxo
7.5700,93.0033,1151.2893,7.4554,2.9443,17.2318,11.9213,33.9835,0.9071,0.0000,1.2282,0.1429,1d09
3.3000,35.7018,340.3834,0.8008,21.7451,2.0502,0.2175,0.6337,0.0000,0.0000,0.0000,0.2500,1d7j
4.3000,58.4530,1006.1461,1.2684,0.0000,2.1608,26.3802,79.8722,1.7537,0.0000,1.8018,0.1538,1det
9.7000,91.4914,1159.4795,2.5994,33.7505,4.2114,3.0360,30.1834,0.0247,0.0000,0.0000,0.1667,1df8
7.2600,90.3157,1746.3240,1.5614,12.3663,4.2106,16.4637,114.5640,0.2356,1.8415,0.5127,0.0870,1dhi
4.9200,65.9617,1164.8726,2.3332,16.5826,2.4795,6.5871,41.9717,0.1349,0.0000,0.0000,0.2222,1e1v
7.6400,43.1745,642.6371,0.6500,17.1853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1e5a
9.8900,103.7593,1399.9202,5.3333,57.4140,0.7625,0.0381,9.7827,0.0000,0.6563,0.0000,0.3333,1e66
6.3600,106.4808,1439.5481,2.4032,42.5304,3.4317,19.7216,166.6061,0.6798,3.4163,0.8379,0.0800,1ela
7.1500,104.7268,1450.8368,1.9123,55.9044,1.6234,29.6080,191.4501,0.6175,4.6685,1.0933,0.0606,1elb
2.9600,37.8611,917.9650,0.8661,29.9112,1.8927,8.2353,40.6570,0.0361,3.0526,0.0000,0.2222,1f4e
4.6200,67.5734,1579.8098,1.1726,18.2233,2.6489,27.0131,124.1880,0.6110,1.2440,0.2056,0.1000,1f4f
6.4800,113.9243,1852.4137,3.8674,34.3939,7.2010,25.7174,169.8682,0.2108,5.7093,0.0000,0.0769,1f4g
3.7400,42.1287,589.6223,0.7292,3.4684,1.6091,0.4616,2.4189,0.0000,0.0000,0.0000,0.4000,1f5k
7.1900,125.6369,1918.9316,4.1956,146.1211,1.5968,5.9442,82.6470,1.0290,13.3900,0.0000,0.1538,1fcx
9.2200,119.0338,1826.5458,3.8693,134.3019,3.0318,1.8001,62.7510,0.0000,4.4983,0.0000,0.1429,1fcz
8.4000,129.6353,2034.0204,6.7738,134.8425,2.4221,4.7893,83.2414,0.9510,7.8677,0.0000,0.1538,1fd0
5.2400,67.3828,910.5447,2.9458,0.0000,6.1255,5.1192,39.0169,0.2053,0.0000,0.3167,0.1818,1fh7
6.8900,77.2521,917.0999,4.8265,5.9584,8.6407,4.1720,35.2994,0.0000,0.0000,0.0000,0.2000,1fh8
6.4300,75.4329,1095.6591,2.8337,0.0000,5.6088,4.8049,45.8693,0.0543,0.0000,0.3187,0.1667,1fh9
9.7000,111.6798,1764.9097,2.7707,65.4864,4.2461,21.4206,227.1998,0.0179,11.5144,0.0000,0.0741,1fkb
7.0000,59.6525,1093.9194,1.9866,29.4901,2.6516,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1fki
8.8000,201.7629,3088.6665,7.3018,75.6039,10.5440,57.2728,440.4175,1.0352,11.1327,1.8718,0.0294,1fkn
10.0000,125.4823,1402.0580,2.4942,77.9513,3.4857,12.9239,72.1103,1.4603,13.6484,0.0000,0.2857,1flr
5.5900,187.6096,3313.7188,5.2217,85.4701,8.7354,91.7291,666.0936,5.2962,3.5049,6.1319,0.0290,1fo0
7.6100,84.2669,930.5225,4.0851,17.3579,7.6902,4.0951,17.1660,0.0234,0.0000,0.0000,0.2000,1ftm
8.4000,202.9034,2980.1614,5.0018,118.5983,7.6942,54.5795,505.4385,2.7159,1.6296,2.5529,0.0370,1fzk
