PDB,pbindaff,predicted
10gs,6.40,4.21
1a08,5.62,4.54
1a1b,6.40,5.16
1a30,4.30,6.17
1a69,5.30,5.04
1ai5,3.72,4.18
1ajp,2.23,3.99
1ajq,4.31,5.47
1apw,8.00,2.79
1avn,3.90,7.10
1b39,6.92,6.25
1b7h,8.02,6.72
1b8o,10.64,6.28
1b9j,5.96,5.45
1bcu,3.28,5.33
1bma,4.59,3.82
1bra,1.82,7.71
1bxo,10.00,7.17
1d09,7.57,2.70
1d7j,3.30,5.21
1det,4.30,6.08
1df8,9.70,6.28
1dhi,7.26,5.83
1e1v,4.92,3.50
1e5a,7.64,5.83
1e66,9.89,5.80
1ela,6.36,5.57
1elb,7.15,4.81
1f4e,2.96,4.92
1f4f,4.62,6.60
1f4g,6.48,6.65
1f5k,3.74,4.17
1fcx,7.19,10.45
1fcz,9.22,9.90
1fd0,8.40,10.79
1fh7,5.24,4.77
1fh8,6.89,5.18
1fh9,6.43,5.25
1fkb,9.70,6.58
1fki,7.00,8.09
1fkn,8.80,6.46
1flr,10.00,9.20
1fo0,5.59,3.80
1ftm,7.61,5.64
1fzk,8.40,7.88
1g7q,6.06,6.26
1gni,8.07,5.58
1gpk,5.37,7.29
1gz9,3.51,3.39
1h23,8.35,8.43
1ha2,5.54,6.42
1hfs,8.70,9.33
1hi4,4.49,4.95
1hk4,5.31,4.23
1if7,10.52,5.36
1is0,7.00,5.03
1j16,3.84,4.17
1j17,5.22,7.57
1jaq,4.48,5.09
1jq9,8.45,4.89
1jqd,5.16,5.56
1jys,3.52,3.61
1k4g,5.85,6.48
1k9s,6.52,6.71
1kv1,5.94,6.30
1kv5,4.22,3.72
1l2s,4.59,5.22
1lol,6.39,6.18
1loq,3.70,5.85
1m0n,2.22,7.29
1m0q,3.89,6.87
1m2q,6.10,6.89
1mq6,11.15,6.66
1n2v,4.08,5.22
1nc1,6.12,6.11
1ndw,5.23,5.56
1ndy,6.17,6.55
1ndz,8.11,7.21
1nfy,8.89,7.50
1nhu,5.66,5.29
1nja,6.31,5.96
1nje,3.80,6.07
1nny,7.66,5.54
1nvq,8.25,8.31
1o0h,5.92,5.01
1o3f,7.96,6.50
1o3p,6.66,6.18
1ols,5.82,6.92
1olu,4.41,6.72
1om1,6.77,8.05
1p1q,4.89,5.50
1pb9,3.62,3.44
1pbq,6.27,6.06
1ppm,5.80,6.25
1pr5,3.92,5.91
1pxo,8.70,6.38
1pz5,5.40,5.77
1q7a,7.19,5.34
1q8t,4.76,5.75
1re8,9.52,9.05
1rnt,5.19,5.30
1s39,7.70,5.72
1sl3,11.85,7.69
1slg,3.90,5.80
1sqa,9.21,6.73
1sv3,4.74,4.00
1syh,6.31,6.82
1tmn,7.30,5.84
1toi,4.05,5.27
1toj,3.39,5.31
1tok,2.47,4.18
1trd,5.40,4.20
1tsy,4.96,6.25
1ttm,7.35,5.52
1tyr,7.00,3.50
1u1b,7.80,6.23
1u2y,1.74,4.10
1u33,4.60,5.60
1utp,1.44,3.44
1uwt,5.97,4.86
1v16,3.87,7.06
1v2o,4.73,5.57
1v48,7.80,6.46
1vfn,5.60,4.29
1vzq,7.44,8.41
1x1z,11.06,7.00
1xd1,7.92,6.57
1xgj,6.00,5.52
1y1m,1.82,4.73
1y6q,11.70,6.59
1ydt,7.32,6.75
1zc9,3.22,4.53
1zoe,7.40,5.02
1zs0,6.15,6.90
1zvx,9.22,6.55
2aou,7.73,6.91
2aov,7.04,5.92
2ayr,9.29,8.53
2azr,3.64,5.15
2b1v,5.74,6.70
2b7d,8.70,6.60
2baj,8.40,8.27
2bak,7.43,8.44
2bok,6.55,6.28
2brb,4.86,5.96
2brm,5.89,5.74
2bz6,7.09,6.31
2bzz,6.43,6.01
2c02,4.04,5.09
2ceq,7.28,5.05
2cer,9.22,6.51
2cet,8.02,6.81
2cgr,7.28,7.27
2ctc,3.89,4.92
2d0k,5.02,5.62
2d1o,7.70,6.19
2d3u,6.92,6.56
2d3z,6.64,6.14
2drc,9.89,6.03
2er9,7.40,6.14
2f01,13.00,6.36
2f80,8.18,7.01
2fai,6.24,6.25
2fdp,7.59,7.67
2flb,5.74,6.36
2fzc,2.70,5.57
2g5u,8.49,5.64
2g8r,3.99,4.96
2g94,9.52,6.17
2gss,4.94,4.98
2h3e,5.70,7.01
2hdq,1.40,3.46
2i0d,12.10,6.52
2j77,4.89,4.63
2j78,6.42,4.90
2qwb,2.74,4.93
2qwd,4.85,4.55
2qwe,7.48,5.46
2rkm,3.90,5.18
2std,9.85,6.67
2usn,6.51,5.66
3gss,5.82,5.45
3pce,2.00,5.06
3pch,5.40,4.51
3pcj,7.22,4.65
3std,11.11,9.48
4er2,9.30,5.38
4tim,2.16,4.22
4tln,3.72,3.78
4tmn,10.17,5.96
5er1,6.02,5.31
6rnt,2.37,4.19
6std,8.64,6.62
7cpa,13.96,6.53
8cpa,9.15,6.63
