pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
5.8200,131.9936,1628.0815,6.5491,36.5276,7.4662,24.4446,234.7372,2.3667,3.6353,0.0000,18.0000,2.0000,11gs
7.5700,93.9692,1168.4709,3.7839,62.4447,4.4122,11.8716,85.1607,0.2938,2.4438,0.0000,10.0000,1.0000,1a0q
6.4000,83.9814,1223.7361,5.9918,30.0145,7.8610,26.5348,204.4361,1.0426,5.6313,0.0000,15.0000,2.0000,1a1c
6.0000,83.0550,1184.0804,5.3453,29.5745,8.2710,25.2784,200.9525,0.6097,8.4462,0.0000,14.0000,2.0000,1a1e
9.8900,70.5230,1148.4381,4.0062,15.1576,3.2747,3.1821,71.2054,0.0000,0.3575,0.0000,7.0000,3.0000,1a42
8.0000,84.4441,1470.1277,2.3405,41.9288,0.3660,6.4004,110.9751,1.0175,4.6669,0.0000,6.0000,1.0000,1a4k
6.6600,118.7047,1290.9684,5.8838,0.0000,6.3700,11.3795,108.4410,0.1183,0.0000,0.0000,6.0000,3.0000,1a4r
5.9200,99.0798,1833.4337,5.0998,44.2083,6.1157,32.0104,262.6822,1.3976,12.2710,0.0000,13.0000,2.0000,1a4w
9.7000,137.9523,2545.8281,4.0712,76.5300,4.7458,24.0363,254.5416,0.5559,8.4100,0.0000,11.0000,11.0000,1a7x
5.5200,75.3172,1078.2510,3.2711,0.0000,7.7358,1.3291,7.4429,0.0001,0.0000,0.0117,1.0000,4.0000,1a8i
7.8500,141.4093,2738.4910,7.0474,61.3570,7.0264,57.0599,417.1881,6.0776,7.1228,1.0474,28.0000,7.0000,1a94
5.7000,54.5830,456.2386,2.5660,27.1777,3.0362,0.0021,1.9428,0.0000,0.0000,0.0000,3.0000,2.0000,1a99
6.9200,111.6643,2157.3494,4.6991,42.9297,5.6070,42.7908,244.4337,2.2627,5.5147,0.4145,19.0000,4.0000,1a9m
8.4000,106.0679,1982.9348,9.0832,47.2741,8.8956,24.8720,207.9180,0.5013,5.0855,0.0000,17.0000,9.0000,1aaq
5.4200,54.4028,824.1589,4.9071,4.8234,8.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1abf
6.7400,95.0647,1285.8998,4.1037,4.4021,4.0920,5.5888,43.2188,0.0196,0.0000,0.0000,2.0000,4.0000,1add
5.3600,47.2798,1216.8921,1.0702,49.8354,2.1230,11.5705,88.0295,0.2366,25.8739,0.0000,14.0000,1.0000,1adl
6.0000,52.2936,541.9473,2.1916,0.0000,3.2647,2.4735,7.9115,0.0000,0.0000,0.0000,4.0000,1.0000,1ado
