pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,nacttors,ninacttors,PDB
0.4900,34.9023,509.7585,0.1530,30.5518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.5793,495.4215,0.2970,22.9863,0.5705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1w8l
0.8200,50.2828,628.4755,0.6968,7.4667,2.0663,1.9706,5.2726,0.0009,0.0000,0.0000,50.2177,634.0885,0.6498,5.8348,1.5405,4.5912,3.6411,0.0224,0.0000,0.0000,4.0000,2.0000,1wkm
1.0100,54.3549,581.3547,2.0669,0.5314,5.1194,4.9369,1.8013,0.3429,0.0000,1.0212,52.7934,547.9274,1.7368,0.8991,5.2610,1.2514,4.6118,0.0037,0.0000,0.0000,3.0000,1.0000,2a31
1.2800,51.9900,623.2077,2.0648,0.0000,5.3170,1.7280,8.6883,0.2336,0.0000,0.9757,48.5319,626.0708,2.5031,0.0000,5.8374,1.8867,8.0567,0.4901,0.0000,1.4038,2.0000,4.0000,1f9g
1.3000,42.8279,679.9422,1.8101,1.6817,5.0255,6.2361,5.0700,0.1091,0.0000,0.4497,44.5337,656.6490,1.8245,1.3381,5.4252,2.5472,7.1814,0.3287,0.0000,0.5801,4.0000,1.0000,1b74
1.3600,28.7285,424.3321,0.6251,9.7894,2.0736,0.0000,0.0000,0.0000,0.0000,0.0000,38.1248,374.0085,1.0434,7.5703,2.4895,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1qpb
1.4900,45.4263,612.8959,1.0397,4.1594,2.4099,3.3091,6.3614,0.0000,2.7395,0.0000,48.4264,642.4384,0.7754,5.7310,1.4831,1.7123,8.1865,0.0000,2.1577,0.0000,3.0000,1.0000,1tnk
1.6000,47.3267,578.4649,0.5755,23.5136,1.1492,6.4966,11.5779,0.3443,0.1301,0.0000,49.7185,555.9849,0.6143,23.4636,1.1977,5.4027,13.0389,0.2632,0.0000,0.0000,3.0000,1.0000,1w8m
1.6600,28.6763,415.6949,2.5000,1.2243,6.1901,0.0000,0.0000,0.0000,0.0000,0.0000,31.4055,394.6944,2.3833,1.7838,5.7097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1rdj
1.7200,40.4874,452.1862,0.9027,14.8203,2.3131,0.2008,6.0421,0.0000,0.0000,0.0000,32.7442,486.0266,0.9843,14.4686,2.5323,0.4348,6.0067,0.0000,0.0000,0.0000,1.0000,2.0000,2hdr
1.8000,88.3602,1505.1587,5.1345,3.8477,10.2553,10.0755,66.8024,0.5924,0.0000,1.6913,77.5559,1344.8296,4.7452,5.6394,10.5155,6.2538,69.3294,0.1368,0.0000,0.2299,4.0000,7.0000,1ga8
1.8200,74.2771,1050.5685,4.3689,0.0000,9.5347,18.0021,78.6563,0.8219,0.0000,1.2664,57.0639,1006.3022,2.1183,0.0000,5.9546,15.0644,86.8897,0.6632,0.0000,2.4209,5.0000,8.0000,1af6
1.8200,64.6537,578.9135,3.2935,0.0000,6.8149,5.7036,3.3216,0.4145,0.0000,1.4994,65.4950,578.1998,3.5373,0.0000,7.0979,5.7289,3.3221,0.4086,0.0000,1.3435,3.0000,2.0000,1d5r
1.8400,36.8854,529.2502,4.0300,1.7394,8.8808,3.7746,18.4701,0.5608,0.0000,1.1536,31.9599,487.5150,3.0889,0.0000,7.6694,4.5374,18.5332,0.1733,0.0000,0.5947,2.0000,5.0000,1rdn
1.8800,45.8922,610.3385,0.6344,4.6428,1.1846,1.2290,5.2513,0.0000,1.6713,0.0000,38.1773,620.9810,0.4770,7.2360,1.0214,1.1451,5.3192,0.0000,1.8745,0.0000,1.0000,1.0000,1tnl
1.9000,67.6933,747.7077,2.4865,37.8833,4.4690,2.7403,14.8039,0.0089,0.0000,0.0000,65.6288,742.3530,2.6235,37.2207,4.6456,3.0119,14.5273,0.0060,0.0000,0.0000,3.0000,1.0000,1f2p
