pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
6.4000,98.9836,1343.4332,2.8497,33.2563,5.6486,39.2960,156.4547,0.6375,32.8609,0.0000,13.0000,1.0000,10gs
5.6200,86.2237,1362.5398,2.1957,25.8677,5.1767,49.8872,252.3894,0.3922,10.9724,0.3151,19.0000,3.0000,1a08
6.4000,108.0756,1291.9919,3.0567,25.5554,7.0560,45.0225,254.3301,1.1763,19.9428,0.0000,19.0000,3.0000,1a1b
4.3000,97.1445,1360.6945,2.3511,29.1386,3.9381,20.5612,116.5938,0.4478,1.1015,1.2555,12.0000,3.0000,1a30
5.3000,91.5769,1241.2390,4.3388,0.0000,7.0299,10.3177,40.5854,0.3530,0.0000,0.0000,2.0000,3.0000,1a69
3.7200,65.8208,824.3367,1.5424,34.4691,2.6704,3.8001,17.1389,0.0208,0.0000,0.0000,3.0000,0.0000,1ai5
2.2300,55.4420,763.9940,0.7947,26.9683,0.9867,2.0912,9.2213,0.2021,0.0000,0.0000,2.0000,2.0000,1ajp
4.3100,60.8248,615.9860,1.8453,26.4918,2.3077,2.5413,3.7007,0.0089,0.0000,0.0000,2.0000,0.0000,1ajq
8.0000,118.3578,1627.0977,3.2259,44.0120,6.7832,42.6509,201.0250,0.8008,9.3489,0.9206,14.0000,10.0000,1apw
3.9000,28.7505,391.0367,0.6122,0.0000,1.2599,1.6808,1.7302,0.0085,0.0000,0.0000,2.0000,1.0000,1avn
6.9200,110.2561,1887.3242,3.6459,0.0000,7.6082,16.7120,128.2585,0.4634,0.0000,0.0000,8.0000,3.0000,1b39
8.0200,130.4910,1742.4360,5.1809,34.6755,11.9289,13.2067,121.7603,0.3224,0.0000,0.3641,16.0000,4.0000,1b7h
10.6400,96.0156,1291.5353,2.8190,2.0810,5.5429,9.0408,43.2453,0.5090,0.0000,0.0000,2.0000,3.0000,1b8o
5.9600,129.6964,1742.7830,5.0348,32.6890,11.5777,15.3865,120.0017,0.4136,0.0000,0.3419,15.0000,5.0000,1b9j
3.2800,65.8966,851.9915,0.9288,13.0208,2.1029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1bcu
4.5900,112.0533,1539.9060,1.9368,54.2390,2.0745,25.1985,224.1893,0.8565,3.8487,0.6435,12.0000,5.0000,1bma
1.8200,58.5999,610.2626,2.1539,7.6351,3.3706,0.8972,2.0604,0.0000,0.0000,0.0000,1.0000,1.0000,1bra
10.0000,151.6468,2073.8601,3.9955,72.0115,6.0418,25.0078,187.7627,0.4543,6.6961,0.0000,10.0000,7.0000,1bxo
7.5700,93.0033,1151.2893,7.4554,2.9443,17.2318,11.9213,33.9835,0.9071,0.0000,1.2282,6.0000,0.0000,1d09
3.3000,36.9695,293.5866,0.2677,17.8504,0.6822,0.2250,0.7718,0.0000,0.0000,0.0000,2.0000,2.0000,1d7j
4.3000,72.6135,891.7820,2.3049,0.0000,5.1687,22.4745,82.8299,0.5051,0.0000,0.7086,4.0000,3.0000,1det
9.7000,91.4914,1159.4795,2.5994,33.7505,4.2114,3.0360,30.1834,0.0247,0.0000,0.0000,5.0000,0.0000,1df8
7.2600,95.7470,1513.5886,2.0624,35.1218,5.5942,15.0324,121.1809,0.1173,0.4353,0.0000,9.0000,3.0000,1dhi
4.9200,65.9617,1164.8726,2.3332,16.5826,2.4795,6.5871,41.9717,0.1349,0.0000,0.0000,3.0000,1.0000,1e1v
7.6400,30.6992,538.3471,0.9135,22.1099,1.6618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1e5a
9.8900,93.3885,1346.3029,7.0567,81.3701,0.0000,0.0107,9.4567,0.0000,0.4335,0.0000,1.0000,2.0000,1e66
6.3600,106.4808,1439.5481,2.4032,42.5304,3.4317,19.7216,166.6061,0.6798,3.4163,0.8379,10.0000,3.0000,1ela
7.1500,98.1791,1321.3973,2.0521,62.8104,1.4232,24.8587,180.9642,0.0596,7.3504,0.0000,13.0000,5.0000,1elb
2.9600,43.2163,888.0074,0.9833,39.2586,2.4049,8.0479,39.6420,0.1252,2.4889,0.0000,3.0000,1.0000,1f4e
4.6200,100.8450,1486.6283,1.5578,45.2880,3.7506,16.6159,96.5032,0.4748,2.9255,0.0000,9.0000,0.0000,1f4f
6.4800,79.9330,1663.8500,1.9928,55.3244,4.9326,14.7755,140.8371,0.5444,2.1127,0.8236,12.0000,0.0000,1f4g
3.7400,55.4669,623.7725,2.1726,3.8687,4.5712,0.4821,2.4209,0.0000,0.0000,0.0000,1.0000,1.0000,1f5k
7.1900,115.6170,1931.7323,1.9568,134.3889,2.8635,3.3506,74.3409,0.2993,8.4602,0.0000,3.0000,5.0000,1fcx
9.2200,118.2394,1806.2689,2.1482,138.2764,2.8251,2.2659,64.0941,0.1573,6.7210,0.0000,4.0000,4.0000,1fcz
8.4000,128.5017,1972.6434,2.6305,137.3108,3.5630,4.5760,84.6960,1.0203,8.1321,0.0000,3.0000,5.0000,1fd0
5.2400,67.3828,910.5447,2.9458,0.0000,6.1255,5.1192,39.0169,0.2053,0.0000,0.3167,2.0000,5.0000,1fh7
6.8900,77.2521,917.0999,4.8265,5.9584,8.6407,4.1720,35.2994,0.0000,0.0000,0.0000,2.0000,4.0000,1fh8
6.4300,65.9184,1022.8243,2.5331,0.0000,6.0464,7.3796,46.9459,1.1302,0.0000,0.9955,2.0000,6.0000,1fh9
9.7000,111.6798,1764.9097,2.7707,65.4864,4.2461,21.4206,227.1998,0.0179,11.5144,0.0000,6.0000,13.0000,1fkb
7.0000,90.8771,1249.4968,1.5999,60.8638,2.0542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1fki
8.8000,147.2871,2818.1746,3.9430,38.3831,7.4761,106.2587,515.9169,2.8387,14.2752,3.5644,29.0000,8.0000,1fkn
10.0000,125.4823,1402.0580,2.4942,77.9513,3.4857,12.9239,72.1103,1.4603,13.6484,0.0000,2.0000,1.0000,1flr
5.5900,187.6096,3313.7188,5.2217,85.4701,8.7354,91.7291,666.0936,5.2962,3.5049,6.1319,30.0000,7.0000,1fo0
7.6100,84.2669,930.5225,4.0851,17.3579,7.6902,4.0951,17.1660,0.0234,0.0000,0.0000,3.0000,2.0000,1ftm
8.4000,202.9034,2980.1614,5.0018,118.5983,7.6942,54.5795,505.4385,2.7159,1.6296,2.5529,23.0000,6.0000,1fzk
6.0600,156.9955,2375.4668,4.8160,25.8247,9.4684,70.9716,370.5046,3.6613,1.4162,5.8774,21.0000,6.0000,1g7q
8.0700,89.0002,1216.7363,0.9270,128.1039,1.5820,6.7464,63.1025,0.0142,12.4049,0.0000,15.0000,1.0000,1gni
5.3700,72.1831,1217.0071,0.8981,49.4159,1.6840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1gpk
3.5100,76.2839,1157.5442,2.8012,3.0276,6.7568,23.1856,191.8745,1.6224,0.0000,3.0212,6.0000,11.0000,1gz9
8.3500,139.8639,2045.5186,2.2265,117.5728,3.1845,29.8213,108.0726,0.1942,32.7724,0.0000,15.0000,0.0000,1h23
5.5400,78.8205,1222.5543,1.1613,71.4612,1.1538,10.3255,71.5650,0.5172,6.3253,0.0000,4.0000,2.0000,1ha2
8.7000,191.9789,2882.5701,2.0302,153.1000,3.0367,32.3924,283.9126,0.8979,24.9536,0.0000,18.0000,2.0000,1hfs
4.4900,71.5529,959.5495,1.8257,0.0000,4.5284,12.8504,109.7275,0.3544,0.0000,0.5416,6.0000,1.0000,1hi4
5.3100,77.5716,1197.2313,4.0090,40.1468,1.3158,7.3537,70.0969,0.5504,5.5703,0.0000,5.0000,2.0000,1hk4
10.5200,73.3985,1145.2588,1.9214,47.9266,2.1584,7.3087,62.5061,0.0070,6.1651,0.0000,6.0000,2.0000,1if7
7.0000,114.5634,1531.0323,4.0157,14.7379,7.2620,40.0963,283.7520,0.4128,5.8017,0.0000,19.0000,3.0000,1is0
3.8400,64.4047,613.0410,1.6518,7.5893,3.0699,0.5351,2.3731,0.0000,0.0000,0.0000,1.0000,1.0000,1j16
5.2200,130.0614,1534.5468,1.5108,41.5908,0.0000,6.7618,131.4971,0.1592,3.6150,0.0000,4.0000,0.0000,1j17
4.4800,76.0624,1193.4640,2.8036,8.4617,6.5606,12.3953,71.6029,0.1989,1.3828,0.4915,8.0000,4.0000,1jaq
8.4500,137.3696,1985.9547,3.2661,53.5032,1.5199,40.1631,283.5886,1.4459,0.0414,2.6993,20.0000,6.0000,1jq9
5.1600,82.9178,1425.3556,2.8493,0.0000,5.8666,14.9303,86.5560,0.0571,0.0000,0.0000,7.0000,3.0000,1jqd
3.5200,49.0186,547.9583,0.6808,0.0000,1.8168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1jys
5.8500,71.9046,1209.2406,1.3890,16.7529,4.5650,2.4172,43.4679,0.0000,0.0000,0.0000,3.0000,2.0000,1k4g
6.5200,104.0632,1301.7498,3.4421,0.0000,6.8677,9.7943,47.1978,0.2666,0.0000,0.1571,2.0000,5.0000,1k9s
5.9400,74.2992,1218.0553,1.2403,49.8002,2.5000,6.3356,51.3218,0.9664,0.0000,0.0000,3.0000,4.0000,1kv1
4.2200,54.4761,550.8312,1.8404,0.0000,4.5925,1.0909,5.3692,0.0000,0.0000,0.0000,3.0000,0.0000,1kv5
4.5900,67.7273,966.4147,2.7907,19.0000,5.5646,6.9169,47.9454,0.7610,0.3073,0.9034,4.0000,0.0000,1l2s
6.3900,69.5711,1284.3645,3.3114,0.0000,7.5086,6.2628,84.5230,0.0048,0.0000,0.0000,4.0000,2.0000,1lol
3.7000,76.5557,1148.2709,3.4649,5.8665,7.4366,9.2072,64.6812,0.6673,0.0000,0.0000,4.0000,2.0000,1loq
2.2200,132.8526,1692.4886,6.5592,26.1659,8.7517,11.0624,112.4901,0.9836,2.2061,1.0000,6.0000,2.0000,1m0n
3.8900,116.5368,1534.7540,7.3350,10.9546,12.2756,7.8534,83.6310,0.4968,1.0508,1.0272,6.0000,3.0000,1m0q
6.1000,87.8054,1196.5497,2.3834,49.7646,1.5382,1.3331,17.0880,0.6039,0.0000,0.0000,1.0000,2.0000,1m2q
11.1500,136.7403,1661.8726,1.4654,27.0256,0.5487,15.5337,152.9358,0.9015,0.2646,0.8856,7.0000,2.0000,1mq6
4.0800,66.3393,926.4315,2.4151,15.1422,4.6331,1.0394,18.3572,0.0511,0.0000,0.0000,3.0000,1.0000,1n2v
6.1200,124.7310,1419.5648,5.7566,8.9418,5.9792,7.1828,55.6994,0.4318,0.0000,0.0000,3.0000,4.0000,1nc1
