pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
5.8200,119.6415,1714.1002,3.2279,29.4222,6.7219,30.5558,235.4817,0.2867,6.4096,0.0000,18.0000,1.0000,11gs
7.5700,103.5818,1223.2357,2.3449,72.6117,3.6078,14.7983,81.7902,0.1378,3.4230,0.0000,10.0000,0.0000,1a0q
6.4000,83.9148,1265.6925,2.6817,30.7847,7.3038,36.1801,210.3000,0.3827,7.0399,0.2309,15.0000,0.0000,1a1c
6.0000,92.3316,1195.9813,3.7576,29.5188,8.6547,27.9330,196.3768,0.6509,6.5964,0.5370,14.0000,0.0000,1a1e
8.0000,113.6394,1694.8763,2.2650,48.9650,3.4297,9.3492,110.2357,0.7870,4.5684,0.0000,6.0000,0.0000,1a4k
6.6600,124.8715,1297.4335,4.4952,0.0000,9.8102,8.5309,105.9201,0.1151,0.0000,0.0000,6.0000,3.0000,1a4r
5.9200,109.4858,1947.8152,2.2713,47.5804,4.8265,34.1725,268.6205,0.5220,12.5034,0.0000,13.0000,0.0000,1a4w
5.5200,78.1700,1077.7316,1.9727,0.0000,6.4556,0.4365,7.8978,0.2439,0.0000,0.7056,1.0000,4.0000,1a8i
7.8500,146.6992,2672.8416,5.3413,77.4020,5.2195,83.5727,408.9704,2.5596,14.7733,2.5602,28.0000,1.0000,1a94
5.7000,55.5394,464.3203,0.7457,24.7404,2.1033,0.7101,1.1907,0.0000,0.0000,0.0000,3.0000,2.0000,1a99
6.9200,144.5853,2211.2395,3.6028,44.0510,6.6793,45.6433,270.7785,1.2626,4.5780,1.0581,19.0000,1.0000,1a9m
8.4000,127.3894,2059.5249,3.1579,49.8671,7.1227,34.4992,226.8450,0.4491,8.0010,0.3821,17.0000,2.0000,1aaq
6.7400,100.5533,1312.6432,4.1007,3.0696,5.1464,4.8464,42.9824,0.0834,0.0000,0.3646,2.0000,4.0000,1add
5.3600,65.7624,1226.8518,0.7510,61.3867,1.6358,22.5731,84.7867,0.1625,36.4216,0.0000,14.0000,0.0000,1adl
6.0000,33.7432,604.4796,1.8554,0.0000,4.9991,5.0379,5.6154,0.2935,0.0000,0.6514,4.0000,1.0000,1ado
6.6200,75.9543,1086.5250,2.1136,0.0000,4.6928,19.3479,160.3661,0.3983,0.0000,0.1369,8.0000,2.0000,1afk
6.2800,73.8513,1049.6257,1.3506,0.0000,3.7639,18.9273,163.7535,0.2728,0.0000,0.4985,8.0000,1.0000,1afl
2.5000,58.3638,764.7539,1.0619,30.9462,1.9042,2.1851,11.5027,0.0007,0.0000,0.0000,2.0000,2.0000,1ai4
4.0900,48.7893,515.7924,0.3245,38.9415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1ai7
4.8200,66.9298,1212.5760,0.3907,52.5616,0.0000,11.0661,96.2774,0.1326,8.0955,0.0000,6.0000,1.0000,1aid
5.9200,92.8452,1671.6934,1.8570,24.2992,2.9346,54.5323,280.0410,2.0650,25.0395,0.4741,9.0000,3.0000,1aj6
3.8700,93.9463,1264.6454,2.0419,26.9626,2.4943,9.0133,47.0032,0.2660,0.0000,0.0000,8.0000,0.0000,1aj7
2.6300,57.4462,809.2798,0.5280,40.9360,0.0000,4.4001,17.1911,0.0042,0.0000,0.0000,3.0000,0.0000,1ajn
7.7200,145.2782,2304.5657,4.4033,93.3322,5.8339,19.3554,286.3599,0.1166,1.4467,0.0000,10.0000,2.0000,1ajv
7.9100,141.9065,2192.0466,3.4870,110.7066,4.7776,26.9519,301.8191,0.3567,0.2286,0.0000,10.0000,2.0000,1ajx
6.5200,36.1791,621.6469,0.1216,39.4386,0.2943,2.5247,14.1500,0.0032,0.0000,0.0000,3.0000,1.0000,1alw
4.3000,60.7885,598.0468,2.7157,0.0000,4.9845,2.3584,4.2414,0.0000,0.0000,0.0000,3.0000,0.0000,1amk
4.5400,74.8117,1337.5002,1.7824,0.0000,3.9157,16.7759,114.0875,0.4259,0.0000,0.6378,6.0000,3.0000,1amw
9.0000,109.9833,1682.3816,3.1360,51.1236,7.2293,29.1811,207.8374,0.9253,8.2461,1.5280,14.0000,2.0000,1apv
6.2800,73.5479,1160.9161,1.1812,17.3828,0.7661,16.6670,85.8558,0.2837,3.0005,0.0000,9.0000,1.0000,1atl
3.1300,54.2355,776.4805,2.4724,3.1923,5.3670,4.5169,17.4412,0.3983,0.0000,0.9616,2.0000,4.0000,1ax0
3.2000,46.4359,645.2981,2.4325,0.0000,5.5362,0.7946,3.0757,0.3655,0.0000,0.8636,1.0000,5.0000,1axz
7.1200,119.8602,1596.9883,5.2754,13.8819,11.9038,12.7008,105.5931,0.4699,0.0000,0.3281,14.0000,4.0000,1b05
6.7000,165.2562,2211.2068,7.3882,66.8176,11.4909,15.7077,179.6327,0.5969,0.0000,0.0000,15.0000,3.0000,1b0h
7.0300,140.5782,2024.7142,5.3268,47.8575,11.5919,14.1967,157.5390,0.3224,1.5645,0.2536,16.0000,3.0000,1b1h
4.5400,123.9042,1756.4060,4.4249,24.6499,11.0992,16.4527,120.2967,0.4400,0.0000,0.6416,16.0000,4.0000,1b2h
7.1000,129.9356,1762.7501,4.8434,22.4624,11.0443,16.4098,121.1359,0.6978,0.0000,0.8315,16.0000,3.0000,1b32
